uname,mid,level,sex,send_time,like,is_sub,text
Aka四牛,86293233,4,男,2021-05-12 11:49:45,14,False,这一课 可以找苏伟老师讲一下
北海大企鹅,439566383,4,男,2021-05-12 13:13:20,0,True,好像第三场时候踢了好多次[doge]
Oolove米oO,25947703,5,男,2021-05-12 12:08:43,2,False,为什么涨粉那么慢
南水北山东麓西岭,21658355,5,男,2021-05-12 11:52:10,1,False,关键时刻的故意脚踢球会被吹技犯么
你聪明魏哥,628964827,4,保密,2021-05-12 15:46:16,1,True,情急之下用脚栏应该不会，如果是泄愤猛踢是技术犯规，踢去砸到其它人应该可以直接罚出去了
让三连成为习惯,413341827,4,保密,2021-05-12 13:24:31,0,False,BGM导致听不清楚。
Like---you,84216338,5,男,2021-05-12 12:37:30,0,False,那他jio伸过来断我变向呢
门外汉樱木,28885754,5,保密,2021-05-12 11:50:03,0,False,前排！
walch5566,238208056,5,保密,2021-05-12 12:15:23,0,False,多讲技术，少讲规则，没多少人想做裁判，野球场也没人和你理论
KingDevils,11678082,5,保密,2021-05-12 12:17:22,8,True,没有规则哪来的技术？你这个说法不合理
Critical-B,40763682,4,保密,2021-05-12 12:58:23,2,True,规则都不知道还打什么篮球[疑惑]
北海大企鹅,439566383,4,男,2021-05-12 13:14:59,1,True,懂规则才能更好的去打，野球场就算了[辣眼睛]
