uname,mid,level,sex,send_time,like,is_sub,text
Aka四牛,86293233,5,男,2021-05-12 11:49:45,16,False,这一课 可以找苏伟老师讲一下
Ku_瓜,439566383,4,男,2021-05-12 13:13:20,0,True,好像第三场时候踢了好多次[doge]
Oolove米oO,25947703,5,男,2021-05-12 12:08:43,2,False,为什么涨粉那么慢
败者食尘-该食尘了,84216338,5,男,2021-05-12 12:37:30,1,False,那他jio伸过来断我变向呢
NPC--Mr_Lu,40636394,6,男,2021-08-06 23:39:29,0,True,烦恼，变向时别人断球，手没断到脚踢飞了，还跑过去把球捡了。。。
南水北山东麓西岭,21658355,5,男,2021-05-12 11:52:10,1,False,关键时刻的故意脚踢球会被吹技犯么
你聪明魏哥,628964827,4,保密,2021-05-12 15:46:16,1,True,情急之下用脚栏应该不会，如果是泄愤猛踢是技术犯规，踢去砸到其它人应该可以直接罚出去了
把妹纠结,4727461,6,保密,2021-05-27 12:30:28,0,True,脚踢球也是一种防守手段  为了防守故意踢是没事的 除非朝人或者带有过激情绪才可能被吹技犯[doge]
让三连成为习惯,413341827,4,男,2021-05-12 13:24:31,0,False,BGM导致听不清楚。
walch5566,238208056,5,保密,2021-05-12 12:15:23,0,False,多讲技术，少讲规则，没多少人想做裁判，野球场也没人和你理论
KingDevils,11678082,5,保密,2021-05-12 12:17:22,8,True,没有规则哪来的技术？你这个说法不合理
Critical-B,40763682,4,保密,2021-05-12 12:58:23,2,True,规则都不知道还打什么篮球[疑惑]
Nevermerciful,5925638,6,男,2021-05-12 13:00:00,0,True,懂了，这就去螃蟹步上篮
木流风火,36070543,6,男,2021-05-12 13:00:32,1,True,你这个就离谱
Ku_瓜,439566383,4,男,2021-05-12 13:14:59,1,True,懂规则才能更好的去打，野球场就算了[辣眼睛]
walch5566,238208056,5,保密,2021-05-12 13:22:48,0,True,回复 @KingDevils :挑个点赞多的回复…首先这是我的个人诉求，李总讲的不是我需要的，所以我取关了；其次是我不否认规则也重要，但是我觉得如果你不是打职业打比赛，技术比这些显而易见的规则重要。就一个走步，至今弹幕还在争论不休，你说你不是打职业的话，较真有用？最后祝各位，学好规则，赛出好成绩…
KingDevils,11678082,5,保密,2021-05-12 14:10:13,1,True,"回复 @walch5566 :你举走步做例子，那我就照着走步说。如果没有规则，大家直接抱着球百米冲刺。
我理解你说的意思是按照约定俗成的来，但是如果你来到一个不和你约定俗成的地方呢？我从小打球半场都还有中线的，大学里半场没中线，能救都给你救。更不要说全国的万种iso规则。
规则这种东西本质是为了避免扯皮的，那大家都心里有数，自然比每个地方都有着自己的规则好。
人李指导弄一号，也不可能天天教你原地陀螺转吧？基本功就那么几样，剩下的更多是通过实战+规则总结出来的。一个有经验的带你复盘和研究规则才是宝藏。不然今天拜佛明天艾佛森大幅度crossover？不都是假动作+变向？这种东西要靠自己，基本功不行，教再多，你打球也用不出来。"
walch5566,238208056,5,保密,2021-05-12 15:03:07,0,True,回复 @KingDevils :你举的例子过于极端。你想想，一点规则都不懂的会看李指导的“规则“视频吗…相反懂规则的，总有7是打野球，3是认真打比赛。打野球的，技术更重要。我就是这个意思而已…不用打那么多字。讲技术能涨粉还是讲规则能涨粉，李指导自己考虑…和我没什么关系
别骂了啊我怕了,1880219244,3,女,2021-05-14 13:57:14,0,True,标题写的不明白？？想学技术你不爱看又没人逼你，有人想看这种的，非要点进来发个评论给自己找点存在感顺便ex一下其他人嘛，你谁啊你[偷笑]
walch5566,238208056,5,保密,2021-05-14 16:07:58,0,True,"回复 @别骂了啊我怕了 :是啊，误会了，看到李指导就进来了。失望就走了，有问题？怪自己眼神不太好。
走之前，建议李指导照顾我的需求，不照顾我就走了，有问题？压根不需要考虑其他人好不好"
隔壁老奶奶家的上帝,702564259,3,保密,2021-05-16 10:12:07,0,True,于是你取关了就来这边让需要的人膈应吗？
walch5566,238208056,5,保密,2021-05-16 11:17:36,0,True,回复 @隔壁老奶奶家的上帝 :咯不膈应是你心态的问题，不是我表达我自己观点的问题。就像点外卖，我觉得不好吃，给差评，有问题？你觉得好吃，我就得罪你吗？
隔壁老奶奶家的上帝,702564259,3,保密,2021-05-16 19:25:41,0,True,回复 @walch5566 :评价:“不会有多少人愿意吃你的外卖”，是不膈应人[偷笑][偷笑]
walch5566,238208056,5,保密,2021-05-16 20:03:54,0,True,回复 @隔壁老奶奶家的上帝 :哦明白了，你意思我既踩了店家，又踩了爱店家的人~哈哈哈，我没有那个意思，但是有的人听着膈应，有道理的
门外汉樱木,28885754,5,保密,2021-05-12 11:50:03,0,False,前排！
