send_time,text
2022-08-18 14:02:36,你玻璃碎了？？？
2022-08-18 14:24:16,所以说 普通用户真的没必要购买NGP 虽然现在已经开始送了 谨慎使用为好
2022-08-18 19:55:14,哈哈哈哈
2022-08-19 00:07:46,蔚来：？？？？？
2022-08-19 06:22:08,软件bug
2022-08-19 09:00:09,比自己开还累
2022-08-19 13:49:11,因为前车变道，怕前车的前车突然减速。
2022-08-19 18:54:29,卧槽
2022-08-19 20:03:53,压根没识别货车
2022-08-19 21:51:03,后车碰这样的都得骂，最烦这种正常开前面还没车的突然减速
2022-08-20 10:21:16,居然有敢不看路的勇者
2022-08-20 10:21:53,看着不像碎了，可能是撞鸟了
2022-08-20 16:05:50,避让救护车好评
2022-08-20 16:41:19,高铁自动驾驶还有个驾驶员看路呢
2022-08-21 03:16:35,那还要辅助驾驶有何用？？
2022-08-21 11:16:22,车流瞬息万变，不看路全凭辅助驾驶很容易出事
2022-08-21 11:44:13,那岂不是比我自己开都累
2022-08-21 13:10:12,极氪001那个沙雕ACC前方一变道就减速……
2022-08-22 19:13:45,确实是公厕级辅助驾驶。这种东西现在就不该能上市卖
2022-08-22 21:20:30,啊啊啊啊
2022-08-22 23:37:16,大货车缺德，高速上变道转向灯都不打
2022-08-23 20:19:09,变道会打转向灯吗
2022-08-24 16:48:29,应该是检测到前方有车所以提示吧
2022-08-25 00:12:26,好家伙这个真的危险
2022-08-25 18:45:55,师傅你别念了！
2022-08-31 17:22:45,11秒时候，中控屏上识别了一个东西，但是实际路上好像没有
2022-09-03 10:32:43,那个是上面的测速摄像头 仔细看看得出来
2022-09-04 12:55:27,《公厕》
2022-09-05 23:25:09,反正呢。我现在不推荐买p7了，硬件不行，技术也不行了
2022-09-08 22:25:25,后侧方有超车，所以系统自动减速了
2022-09-10 08:47:06,十一秒那儿，哥们儿，那个是电子眼
2022-09-14 10:06:47,辅助驾驶就是能让你脚歇会，你人也歇那你就等着哪天彻底歇吧
2022-11-18 11:30:28,这个玩具方向盘在哪买的，还会闪灯
