uname,mid,level,sex,send_time,like,is_sub,text
yqdeso,470870311,4,保密,2022-08-18 14:43:29,110,False,"鹏友您好，抱歉给您带来了不好的体验，我们已经收到您的建议，将尽快反馈给相关部门进行优化，感谢您的支持~

熟悉不？[笑哭]"
就是那个工,10150444,6,男,2022-08-18 15:18:54,1,True,简直真实[笑哭]
猛男就是我,32346214,6,保密,2022-08-19 06:24:23,0,True,已经反馈 优化就不一定了[呲牙]
蟹粉波纹龙,678919731,5,男,2022-08-20 16:42:25,0,True,回复 @猛男就是我 :你开到小鹏哪款车？
pixe_world,11822088,5,保密,2022-08-21 13:11:52,1,True,回复 @猛男就是我 :我证明，确实优化了，优化了夜间可以使用lcc的bug，杜绝了lcc的夜间事故
yqdeso,470870311,4,保密,2022-08-23 14:29:19,0,True,回复 @pixe_world :是的，N版本（至享）确实是搞成了0点后就不能用LCC了。太可恶，这么搞下去，呵呵……
Sun言叶,10936171,6,保密,2022-08-19 13:08:15,51,False,开车就好好开 别说什么辅助 辅助用多了 自然而然会越来越放松 刚开始还手扶着 还看路 越来越大意 看看手机也没事 玩玩游戏也可以 眯一会也问题不大 这就是个潜移默化的过程 到时候迎接你的就是车祸了
就是那个工,10150444,6,男,2022-08-19 14:31:56,4,True,我恰恰相反，自己开容易累，辅助能缓解疲劳。
Sun言叶,10936171,6,保密,2022-08-19 19:24:20,1,True,回复 @就是那个工 :开着都犯困 都解放了反倒精神了？
就是那个工,10150444,6,男,2022-08-19 20:56:47,5,True,回复 @Sun言叶 :当然，自己开累，交给辅助能节省精力，用过就知道了
Sun言叶,10936171,6,保密,2022-08-19 22:35:44,0,True,回复 @就是那个工 :那就祝你多用 多省了
Sun言叶,10936171,6,保密,2022-08-19 22:36:35,0,True,回复 @就是那个工 :我就不用了 开个车的精力还是有的 安全第一
就是那个工,10150444,6,男,2022-08-19 22:49:08,1,True,回复 @Sun言叶 :哦
名字大概七个字,8150642,6,保密,2022-08-20 00:15:36,0,True,回复 @Sun言叶 :不是犯困的累 三四个小时保持一个坐姿腰酸背疼的累
Sun言叶,10936171,6,保密,2022-08-20 01:11:43,0,True,回复 @名字大概七个字 :？那你用了辅助还能躺还是咋的
vvstar,35885,6,女,2022-08-20 02:28:09,4,True,回复 @Sun言叶 :你先把驾照考了再接着聊行么？
名字大概七个字,8150642,6,保密,2022-08-20 08:15:20,3,True,回复 @Sun言叶 :建议你租个车开一趟跨省的高速之后我们接着聊
凌晨大无赖,177643313,5,男,2022-08-20 08:20:37,4,True,回复 @Sun言叶 :没人在乎你用不用[给心心]
暹纙,2775844,6,保密,2022-08-20 09:34:31,1,True,回复 @Sun言叶 :明显是没开过车的，高速累了辅助驾驶帮忙30s都能让人缓解很多
Sun言叶,10936171,6,保密,2022-08-20 18:14:44,0,True,回复 @名字大概七个字 :你怎么敢说我没开过跨省。。。笑死
Sun言叶,10936171,6,保密,2022-08-20 18:15:18,0,True,回复 @暹纙 :有多明显。。。不用辅助的人多了去了 有点武断哇 。。
Sun言叶,10936171,6,保密,2022-08-20 18:16:14,0,True,回复 @凌晨大无赖 :挺多的 你看这么多人喷我 包括你[给心心]
Sun言叶,10936171,6,保密,2022-08-20 18:17:49,0,True,回复 @暹纙 :高速累了不应该找服务区休息么 你经常疲劳驾驶？
Sun言叶,10936171,6,保密,2022-08-20 18:18:19,0,True,回复 @vvstar :我要是有驾照 怎么说？张口就来是吧
vvstar,35885,6,女,2022-08-20 20:58:33,1,True,回复 @Sun言叶 :来秀秀啊，别光说不练啊[给心心]
不知道咋整的陈,11921577,5,保密,2022-08-20 22:15:26,1,True,回复 @就是那个工 :自己开着感觉累了最好还是停车休息，辅助驾驶人一放松很容易就会发困了
Sun言叶,10936171,6,保密,2022-08-20 22:18:00,0,True,回复 @vvstar :这不得赌点啥？
就是那个工,10150444,6,男,2022-08-20 22:45:46,3,True,"回复 @不知道咋整的陈 :我个人认为这个道理理解起来并不难:
打个比方，比如疲劳度100就要下服务区休息。
自己开，比如200公里会达到100，就要下去休息了。
辅助驾驶，节省精力，对我来说疲劳度可以一直保持在60，那么就不会那么累，还能有更多的精力来观察路况。
比起疲劳度一直增加早晚会到100，始终维持在60我个人觉得更安全。"
名字大概七个字,8150642,6,保密,2022-08-20 23:57:01,0,True,回复 @就是那个工 :你叫不醒一个装睡的人 跟小孩子这么较真干嘛
御坂0534号,527142440,5,男,2022-08-21 11:49:25,0,True,类似于机的自动驾驶吧
酱油·过客,8815672,6,男,2022-08-28 19:53:26,0,True,高速上长时间驾驶的时候可以用一用，减少注意力负担，晚上或者山区就尽量自己开了
67546871894_bili,363397136,4,保密,2022-09-07 00:37:03,0,True,技术就是来给人用的
dada123,293901,6,保密,2022-09-09 18:32:36,0,True,用过再说吧，反正我是觉得高速上能极大减缓疲劳
Action_Lee,318362788,6,保密,2022-09-09 22:00:07,0,True,一看就是没用过辅助驾驶的
Sun言叶,10936171,6,保密,2022-09-09 22:01:15,0,True,回复 @Action_Lee :张口就来？我用过的话怎么说？
Sun言叶,10936171,6,保密,2022-09-09 22:03:38,0,True,回复 @dada123 :缓解腿部疲劳 但分散注意力 尤其高速更容易让人困倦 你自己找找那些辅助驾驶撞墙的视频去看看
dada123,293901,6,保密,2022-09-09 22:09:19,0,True,回复 @Sun言叶 :我说的就是自己用辅助驾驶的感受，他撞墙难道不是自己的问题么……困了就该去休息，而不是把辅助驾驶当自动驾驶用，自己在睡觉。
古董9117,2010487237,4,保密,2022-08-18 14:37:42,31,False,问题出在芯片算力上，小鹏再怎么腾挪算力的极限摆在那里，可以说1000tops以下的算力都不能真正做到自动驾驶，硬件到了1000后再完善算法就能无限接近自动驾驶
就是那个工,10150444,6,男,2022-08-18 15:19:30,0,True,确实，xavier估计这样已经是极限了
内修仙功外持神器,18116983,5,男,2022-08-18 23:13:35,6,True,我同事是英伟达orin x的开发人员之一，他说需要4000算力才能达到L4
黑暗之声,4035502,6,男,2022-08-19 13:32:32,1,True,回复 @就是那个工 :yysy堆算力没有意义。现在神经网络的视觉是有缺陷的，无法验证的。有论文显示，随着算力的提升，神经网络的准确率提升非常有限。我个人感觉神经网络已经到极限了
黑暗之声,4035502,6,男,2022-08-19 13:33:10,2,True,回复 @内修仙功外持神器 :就现在这种神经网络，就算到4000pflops都没有用。。
黑暗之声,4035502,6,男,2022-08-19 13:33:47,0,True,回复 @内修仙功外持神器 :一个不可验证的东西谁敢让他开车啊
ylrylrylr,20832440,4,保密,2022-08-19 22:27:59,0,True,回复 @黑暗之声 :不可解释，直觉上确实不敢让他开。但是人的脑子为什么能开也是不可解释，所以这个问题不好说。
黑暗之声,4035502,6,男,2022-08-20 00:21:26,2,True,回复 @ylrylrylr :主要是现在神经网络会犯人永远不可能犯的浅显的错误，目前来看这些错误简直不可饶恕不可理喻不可定位不可修复，产生这些问题的核心原因就来源于不可解释
我的腾讯QQ,10514182,5,保密,2022-08-20 23:48:22,0,True,为什么是1000？
广州农村商业银行,3244877,6,保密,2022-08-21 04:51:06,3,True,我倒是觉得厂商会拿算力当借口，去淘汰老车或者卖硬件，硬件是骨架软件是灵魂，我从消费电子行业历来的经验来看，我们的供应商不缺好的硬件，我们的软件一塌糊涂，什么都想做又不想花钱花时间，希望中控大屏不会变成广告播放器
white丿白,255954964,6,保密,2022-08-23 18:09:29,0,True,再怎么自动驾驶也不能阻止别人撞你，除非人手一辆自动驾驶。并且没有手动驾驶模式
抱灵居士,38034683,5,男,2022-08-25 13:08:01,0,True,回复 @white丿白 :那如果有人黑进来用来攻击别人
梦乃爱华_冲冲冲,321838341,5,保密,2022-09-08 08:35:03,0,True,胡说八道，比参数是吧？
梦乃爱华_冲冲冲,321838341,5,保密,2022-09-08 08:35:49,0,True,回复 @内修仙功外持神器 :堆参数没意义，看看fsd beta吧
离木洺,195259187,6,男,2022-08-20 10:16:03,16,False,总有人把辅助驾驶当自动驾驶[捂脸]
Mitchellycchan,204118008,4,保密,2022-08-20 14:08:51,0,True,然後就變成不負責任駕駛[脱单doge]
欣喜儿,56885677,5,保密,2022-08-18 19:51:22,4,False,NGP这种功能，如果长期使用，自然而然的就会放松警惕，注意力不集中。问题是NGP能不能识别出每一次需要人工接管的场景，提示后是否有足够的时间和空间来人工处理。
就是那个工,10150444,6,男,2022-08-18 21:34:08,0,True,接管冗余确实也是个重要的方面
喔啦啦,3051204,6,男,2022-08-18 14:24:26,4,False,所以说 普通用户真的没必要购买NGP 虽然现在已经开始送了 谨慎使用为好
就是那个工,10150444,6,男,2022-08-18 15:19:42,0,True,当lcc用就好
大黑布林李子,6515278,6,男,2022-08-18 13:57:20,4,False,非常赞同标题
就是那个工,10150444,6,男,2022-08-18 17:19:50,0,True,[doge]
基本是条青花鱼,11885324,6,保密,2022-08-20 07:41:27,2,False,"我这人比较老套，除了absebd这类不想要任何辅助驾驶功能,完全信不过这类能掌握油门和方向的辅助驾驶"
就是那个工,10150444,6,男,2022-08-20 10:07:26,0,True,当然可以
哈斯克的猫,15025093,5,保密,2022-08-23 08:28:27,0,True,我也是，短途自己开还不过瘾，毕竟后驱还是好玩[doge]长途跑高速开定速巡航放松脚累了就果断服务区休息，反正目前我对大于等于l2的自动驾驶既不信任也没需求[藏狐]
羽兽6035,25940905,6,保密,2022-09-03 08:18:52,0,True,"辅助驾驶最可怕的就是会减少你的精神集中[doge]

比如你本来也累，自己开勉强能开，开辅助驾驶没事一段时间之后可能就困了脑子迟钝了反应不过来了"
假_币,25582820,5,保密,2022-08-19 11:57:04,2,False,有一说一，只看这视频和up主的描述，我还是觉得沃尔沃的领航辅助更好一些（本人V90车主），对于有车插进来的情况，对前车的识别切换相当积极，刹车很果断。只是在复杂路况比如换匝道，完全需要手动。会的很会，不会的真不会[doge]
御坂19019号,50308488,6,保密,2022-08-21 21:17:19,0,True,家里XC60，一毛一样的体验
kpjmwtpg,17065667,4,保密,2022-09-07 20:31:23,0,True,别吹了，xc90和小鹏都长时间开过，沃尔沃直接不是一个档次，直线都画龙
