send_time,text
2021-04-28 19:52:53,内饰够丑的
2021-04-28 22:54:09,你一直就在接管好不
2021-04-29 18:31:29,过减速时带车速从103加速到114，厉害！！
2021-04-29 20:42:53,居然还敢上高速
2021-04-29 20:44:01,这尼玛是把命托付给电脑了！
2021-04-30 09:17:35,玩具车的内饰
2021-04-30 12:29:02,半成品工业垃圾
2021-05-02 01:55:42,过减速带，你还提速…
2021-05-05 00:55:37,塑料感内饰
2021-05-05 08:26:36,工业垃圾
2021-05-07 19:34:00,时速在涨…
2021-05-08 23:08:33,浑身异响
2021-05-08 23:44:12,果然美国人的车不靠谱
2021-05-09 04:07:50,黄泉车
2021-05-10 08:42:04,这开始是不是啥也没踩在巡航，咋过过减速带速度还提上去了
2021-05-11 09:33:57,不是车主提速，是颠簸时动能回收受限，制动力减弱，车会突然往前溜
2021-05-11 09:55:31,哈哈哈
2021-05-11 18:37:23,灵车漂移
2021-05-13 12:52:48,速度：104
2021-05-13 12:52:58,速度：103
2021-05-13 12:53:09,速度：105
2021-05-13 12:53:18,速度：108
2021-05-13 12:53:26,速度：110
2021-05-13 12:53:34,速度：112
2021-05-13 12:53:41,速度：113
2021-05-13 12:54:01,速度：114
2021-05-13 12:54:24,开始减速  速度：105
2021-05-13 12:54:34,速度：98
2021-05-13 12:54:45,速度：76
2021-05-13 12:55:09,开始从中控记录速度
2021-05-13 14:54:18,自己改刹车不行吗
2021-05-13 21:23:05,tsl：QQ飞车玩过吗？这不是减速带，这是喷射BUFF
2021-05-15 18:07:20,副驾在写遗书
2021-05-20 23:03:45,去特斯拉驾校重新学习吧
2021-05-23 15:06:37,还有领航员？路书？
2021-05-31 02:18:17,兄弟嫌命长啊
2021-06-19 15:57:41,工业垃圾 逼格吹上天 
2021-07-08 19:11:53,在写遗嘱吗
2021-08-29 11:30:04,过减速带不减速？？？
2021-09-22 02:47:14,特斯拉装发动机
2021-09-22 22:09:44,特斯拉装上“V8”发动机的后果
2021-10-05 23:21:34,副驾：遗书还没写好
2021-10-09 12:27:08,不是傻吗，这种颠簸路面速度又快，不握紧方向盘，傻吗
2021-10-09 12:52:06,高速也要领航员吗？
2021-10-10 21:46:20,你以为是司机想提速吗？这是车自己在加速
2021-10-10 22:33:27,副驾在记路书？
2021-10-18 22:42:31,原来特斯拉的速度就这样显示的呀  仪表盘都没有  好危险的感觉
2021-11-26 10:38:33,特斯拉用人命检验自动驾驶技术
2021-12-05 20:03:06,车：不让你管
2021-12-20 13:24:26,动能回收受限了
2022-01-02 12:30:09,副驾坐着领航员吗？
2022-01-28 12:08:14,你手都抓死了还没接管？
2022-01-30 00:08:53,减速带会让动力回收失灵
2022-03-10 22:35:21,副驾是在读路书吗
2022-05-07 10:04:06,副驾驶在看检查单了（
2022-05-07 12:02:03,没看明白弹幕，视频现在说的是特斯拉接管性能强大。
2022-05-07 12:03:13,我有个问题，这个视频不是说特斯拉接管的功能挺强的吗？司机自己开那么快，还好有接管功能降速。
2022-05-07 12:05:13,为啥要喷，视频看下来不是夸特斯拉接管能力吗
2022-07-19 19:07:47,旁边是领航员吗 在看路书 哈哈啊哈
2022-07-30 11:41:24,没有标线了肯定要接管啊
2022-08-06 03:45:51,减速带你当加速带用是吧
2022-08-06 15:41:59,怎么设计这种路。。。
2022-08-12 09:00:59,42号车库
2022-08-21 20:52:39,我去，特斯拉车主另说，这上高速对别的车也是一种危险啊
2022-08-26 17:59:20,接管
2022-08-31 11:50:51,剧烈震荡，电脑强制介入，然后事故
2022-09-02 01:22:02,时速一百过减速带牛啊
2022-09-04 10:14:41,关键时刻死机
2022-09-23 20:09:30,旁边坐的是领航员
2022-10-19 14:56:06,买这破车就是想死的快。早晚出事
2022-11-14 09:39:29,好先进啊！
2022-11-15 12:33:40,特斯拉：帮助车主快速通过减速带
2022-11-20 12:54:51,人家车名就叫“他死啦”，别大惊小怪
2022-11-24 16:07:15,副驾在写遗书
2022-11-28 20:08:54,附加在写遗书吗
