uname,mid,level,sex,send_time,like,is_sub,text
基利亚姆耶卡,252066238,5,保密,2021-06-24 16:03:07,65,False,我讲这句话会被喷！但是还是要讨论讨论一下。这辆车在高架上车流量大，变道的时候，有一辆白色绿牌车在后方，好几次提前为它开道。留出很大的车距。
Drymartini凌凌漆,410895559,5,保密,2021-06-24 16:21:57,1,True,你观察得仔细[支持]
乌啦啦图,14834393,6,男,2021-06-25 00:51:42,1,True,几分几秒？从后视镜看到的吗？
基利亚姆耶卡,252066238,5,保密,2021-06-25 02:19:13,0,True,回复 @乌啦啦图 :你哔站搜汽车之家，有这个视频。高架车多的那段路，后视镜和车载屏建模。
Schnellboote,1562262766,2,保密,2021-06-25 08:50:04,2,True,纯粹是捕风捉影，在高速上有车跟你个20公里不是太正常啦，跑长途的时候跟着前面的车开个50公里都是常见的。
基利亚姆耶卡,252066238,5,保密,2021-06-25 08:59:14,3,True,回复 @爱读书的男人 :那个，你看建模[笑哭]，留了两个身位的空间，你在上海高架这么开车，分分钟被挤进去。我们理性讨论。不要上来就说这啥那啥，有些还被快进了，我慢放0.5好几次+暂停才这么说的。
基利亚姆耶卡,252066238,5,保密,2021-06-25 09:03:20,1,True,回复 @基利亚姆耶卡 :就这个UP的视频，3:51秒开始，左边后视镜有个白色绿牌车，你看它的行为，卡着道不走，视频车才变道。
Schnellboote,1562262766,2,保密,2021-06-25 09:05:05,0,True,回复 @基利亚姆耶卡 :在开高速时理论上要留四个车位而不是两个，只留两个车位已经可以判定后车aggressive driving了。
Schnellboote,1562262766,2,保密,2021-06-25 09:08:22,0,True,回复 @基利亚姆耶卡 :3:51是并道场景，看到有人要并道让一下不是很正常嘛。
基利亚姆耶卡,252066238,5,保密,2021-06-25 09:12:27,1,True,回复 @爱读书的男人 :还有4:17下匝道那个，那个后方车辆压速度，距离有点太大了吧！你要是在上海开过车就不会留这么大距离给别人。（这些在视频上平板里建模都能看见的。）
基利亚姆耶卡,252066238,5,保密,2021-06-25 09:16:33,0,True,回复 @爱读书的男人 :友情提醒！4:17秒那里0.5倍速暂停逐振播放后车卡速度了（这个是倍速快放下卡速度给视频车变道。）
Schnellboote,1562262766,2,保密,2021-06-25 09:23:50,1,True,回复 @基利亚姆耶卡 :同样4:17，请看邻左道深色车与前车的距离，再看最左道SUV与前车距离，都挺大对吧，说明这点距离也是常有的事啊。你不能拿着手电筒只照智己啊，如果是有意忽略邻车道类似情况，那就双标了。
