uname,mid,level,sex,send_time,like,is_sub,text
iprw81,412680179,4,保密,2021-05-07 22:46:10,12,False,别闹，余大嘴在前备箱视线不好而已[吃瓜][吃瓜][吃瓜]
唯殇者,301359299,6,男,2021-05-11 22:41:24,1,True,每卖出一辆就有一个大嘴失去，没有买卖就没有伤害
我心荡漾着呢,676236015,5,保密,2021-05-04 07:15:37,10,False,压线 遵守交通规则
ArectX,96289820,5,保密,2021-05-22 03:21:31,0,True,之前那个让电瓶车的视频，好像也压了实线吧
AVATR,304998985,5,男,2021-05-04 14:54:31,7,False,这种，前车走了才走，
徐徐麦浪,670312551,5,保密,2021-05-07 06:31:37,1,True,还是怕压了旁边的实线，胆子太小了。
AVATR,304998985,5,男,2021-05-07 06:36:16,2,True,回复 @徐徐麦浪 :系统设定的不违章，不违规，不走的话，他也没办法走的
两只沈梦係,449657954,5,保密,2021-05-11 20:33:38,1,True,你有了之后可以多接管几次，接管多了就和你开车一样了，ai强大的地方是学习
花开莫与流年错_,35232423,5,保密,2021-05-08 01:22:18,3,False,不要标题党可好，这个视频我看过，不是需要接管，而是自动驾驶胆子小点，要多等会儿 于是他手动开了
沪中农,154088217,6,保密,2021-05-08 07:02:31,0,True,回复 @花开莫与流年错_ :我在视频里也是这么解释的啊。
漏勺不漏,189948958,5,保密,2021-05-09 13:27:42,2,True,回复 @沪中农 :所以你是标题党啊，有问题嘛？
沪中农,154088217,6,保密,2021-05-09 16:01:18,0,True,回复 @胸小的不要讲话 :好吧。就按你ID定的规则，我没资格说话
叉叉几级,93896989,5,男,2021-05-11 10:06:40,1,True,回复 @胸小的不要讲话 :不需要接管，但事实上接管了，标题没有问题
GoodMan某某某,650203026,4,保密,2021-05-18 08:25:04,0,True,回复 @叉叉几级 :你看看是在什么情况下接管的。你也可以不接管，等周围的两辆车过了，它自己会走。
还有30秒,184861036,5,保密,2021-05-04 22:09:47,2,False,有时候需要接管也正常，看标准好像到L5才无需接管。
我是正义化生希瑞,91332303,5,保密,2021-05-05 11:00:48,3,True,那种需要整个道路都是智能的，道路的信息随时与车辆保持交换，到那时有可能驾驶的最高权限不是人，而是人工智能
猫布偶k,4276947,6,男,2021-05-06 19:47:57,2,True,安全和法规的优先级在前，有些特殊情况只能也必须由人来下判断，比如单行道前方临时有车把路堵死了，车机也不能原地掉头（法规上算逆行），机器不能代替你“违规”
一只北柠,98782512,5,保密,2021-05-03 23:25:18,2,False,那个位置看上去好小啊
未次元邹,412636990,5,保密,2021-05-08 19:41:47,1,False,反正原则就是怂呗
七天感冒一次,101764984,5,保密,2021-05-08 21:39:06,0,True,你来
爱斯特利亚的风,518677,5,保密,2021-05-10 10:27:16,6,True,是的。应该学特斯拉直接开撞是吧[偷笑]
未次元邹,412636990,5,保密,2021-05-10 10:42:56,0,True,回复 @叁霓喔 :去学驾驶，你就懂了
贰伍柒灬,172916067,4,保密,2021-05-13 23:45:34,2,True,怂？设置的程序就是在交规法规的范围内行驶，以安全为主的前提来行驶的
酒足饭饱思灵犀,275725438,5,保密,2021-05-16 14:46:04,4,True,安全，守法是底线，没毛病
给我个你面子,335369794,5,保密,2021-05-17 09:36:43,3,True,守法才是基本！
九尾妖胡,280176760,5,保密,2021-05-17 10:11:48,1,True,特斯拉不怂。
40岁了还没用过苹果,242692995,5,保密,2021-05-24 18:52:50,0,False,幸亏是华为，换别家不撞出去才怪
