send_time,dm_time,crc32_id,text
2021-04-26 12:03:54,0:00:21.949000,33f39385,抢个底板吧
2021-04-26 12:06:29,0:02:00.399000,4cd4adae,电量满的情况下没动能回收吧
2021-04-26 12:07:39,0:00:55.195000,d766d878,这不巧了吗
2021-04-26 12:08:10,0:00:12.743000,1ca52368,赶上了？
2021-04-26 12:08:35,0:03:02.390000,d1ca19b4,说白了就是特斯拉产品的研发过程本来就不完整 没有经过足够的强化道路耐久测试就匆匆上市
2021-04-26 12:08:42,0:00:12.558000,2df1d87d,他还没发布还没发布我就来了
2021-04-26 12:08:51,0:04:50.825000,fac48732,特斯拉态度不错，直接解决车主
2021-04-26 12:08:53,0:02:32.553000,f14a36a7,特斯拉：对，是驾驶员没力气
2021-04-26 12:09:04,0:00:07.069000,bebb3faf,来了来了
2021-04-26 12:09:31,0:03:11.330000,447f8486,娇贵的特斯拉
2021-04-26 12:09:44,0:00:09.575000,d0f6bba2,热乎的！
2021-04-26 12:11:22,0:03:27.528000,9ed03b5c,这车真娇气
2021-04-26 12:11:23,0:03:57.609000,7fd00b13,看不到提示就是车主的问题啊，跟特斯拉有啥关系呢，这届的车主不行 (狗头)
2021-04-26 12:11:36,0:00:17.215000,ee3e68b0,11分钟，三连再看
2021-04-26 12:11:42,0:00:37.036000,6785fc9e,一介小民，面对这种巨无霸跨国企业，还能怎么办？
2021-04-26 12:11:51,0:03:25.361000,e1ca782e,专业打脸
2021-04-26 12:11:55,0:03:26.824000,f5b3102c,这就有点恐怖了，动不动就出刹车系统异常
2021-04-26 12:12:22,0:00:55.822000,87663280,刚好
2021-04-26 12:12:25,0:05:12.673000,62cc7ddc,说得中肯
2021-04-26 12:12:49,0:01:27.462000,6785fc9e,刹车，请勿模仿
2021-04-26 12:13:42,0:01:25.584000,4c42025f,良心
2021-04-26 12:15:17,0:00:46.359000,a9639899,不这样搞特斯拉根本就不理你
2021-04-26 12:15:32,0:00:06.489000,94eda420,该来的总会来，哈哈哈哈
2021-04-26 12:16:04,0:01:08.498000,5d5ac37b,随便买一辆都碰到这个问题，说明概率不小了
2021-04-26 12:16:45,0:04:14.939000,4c42025f,良心车评人
2021-04-26 12:18:28,0:04:24.969000,91d92bd4,责任感！
2021-04-26 12:18:52,0:04:47.350000,8d00eff7,这几年耐久性测试 好像没有车可以全身而退的 哈哈
2021-04-26 12:19:17,0:02:57.472000,dae8ebf3,233333
2021-04-26 12:20:37,0:05:01.725000,e69fce99,把轮毂罩拿掉了，估计是为了散热和方便检查
2021-04-26 12:20:47,0:03:55.583000,9f37d28f,特斯拉没有仪表盘 哈哈 只有中控 提示了也不容易注意
2021-04-26 12:22:51,0:04:58.559000,917a15d5,刹车受限是因为频繁刹车，制动系统刹车片热衰退，归根结底是产品不合格
2021-04-26 12:24:00,0:01:26.153000,6a25c778,刚才那辆车和这辆车的轮毂不一样啊
2021-04-26 12:24:04,0:02:35.638000,8cf84f7f,所以怪女车主没劲儿（doge
2021-04-26 12:26:20,0:03:39.041000,f05b285,没有仪表盘，步子太大扯着蛋了吧？
2021-04-26 12:27:19,0:00:11.757000,80b65256,第一次那么前
2021-04-26 12:27:24,0:02:56.958000,7862ee26,啊这
2021-04-26 12:27:49,0:04:55.001000,8cf84f7f,特斯拉：不惮以最坏的恶意来揣测车主
2021-04-26 12:28:07,0:02:22.057000,6f947294,最严重的问题是，刹车变硬，车主可能以为已经踩到底了
2021-04-26 12:28:09,0:04:34.357000,127dfac9,牵引力控制和车身稳定没了？这有点恐怖了，百公里三秒多车啊
2021-04-26 12:28:54,0:02:57.380000,429588a6,好家伙
2021-04-26 12:29:36,0:03:51,e17470f5,本田是失去动力，特斯拉是失去刹车
2021-04-26 12:31:15,0:04:01.096000,3f78fce4,特斯拉是上帝，车买回家是供上的，而不是让车主开的
2021-04-26 12:31:22,0:04:48.745000,a0217bb3,三连支持
2021-04-26 12:32:40,0:01:22.780000,2cc65e4b,牛逼，就喜欢专业开怼
2021-04-26 12:33:49,0:00:57.021000,27daf79e,《刚好》
2021-04-26 12:34:00,0:04:46.703000,140b6795,测试过车麻烦也提供一下吧
2021-04-26 12:35:36,0:05:08.078000,aa1cfd9b,轮毂本来就是这样的，只是把原来的减下风阻的的塑料盖给摘了，这样刹车热衰退可以减弱一点
2021-04-26 12:35:56,0:03:52.840000,23ff419a,没仪表盘坏处显现出来了
2021-04-26 12:36:04,0:01:42.159000,4c176de4,全网公信力最高节目 
2021-04-26 12:36:25,0:01:00.834000,ec74c7c7,轮毂换了
2021-04-26 12:36:33,0:04:20.457000,8c7f6fdc,这个测试太值了
2021-04-26 12:37:34,0:00:47.779000,eb581be2,我调查我自己
2021-04-26 12:39:03,0:01:26.259000,f779d05a,这个热衰退NANA刷圈的时候也说过
2021-04-26 12:39:06,0:02:03.979000,eb581be2,刹车失灵实锤了
2021-04-26 12:42:04,0:01:02.547000,86828ee,这是拆了轮毂盖，不是换轮毂
2021-04-26 12:45:06,0:01:01.769000,93e8f81b,良心专业的车评节目
2021-04-26 12:45:43,0:00:19.543000,2bee3f3c,前排围观
2021-04-26 12:46:11,0:03:19.746000,9f8b5510,国标制动系统应该是指刹车吧
2021-04-26 12:46:48,0:00:02.140000,edec45e,牛逼！
2021-04-26 12:50:04,0:00:19.589000,8ed9b277,来了来了，终于来了
2021-04-26 12:52:00,0:01:18.270000,a85db2b5,1.6吨的车很多燃油车都比这个重了，这个刹车属于中下水准了吧
2021-04-26 12:52:04,0:03:31.518000,de067680,动能回收系统和刹车系统是两套
2021-04-26 12:54:12,0:03:53.203000,a4e9429a,因为他没有仪表台
2021-04-26 12:54:43,0:01:33.836000,d549c80f,什么换轮毂，那是把轮毂外面的盖子拆下来了
2021-04-26 12:55:20,0:00:25.833000,4fa1a7d9,如果有别的手段，谁想当小丑？
2021-04-26 12:57:15,0:02:36.559000,3425c1c0,特斯拉：没错啊，女司机自己力气小怪谁咯！
2021-04-26 12:57:46,0:00:10.161000,ba2f93e5,三连走起
2021-04-26 12:58:01,0:01:20.539000,171d26ac,居然都冒烟儿了
2021-04-26 12:59:29,0:02:21.728000,dbadb58e,特斯拉：对，我们智能车就这样，踩不下去是你力量不够
2021-04-26 13:01:00,0:01:11.690000,a6a6ad30,好家伙
2021-04-26 13:01:41,0:02:11.160000,dd148353,刹车泵失灵“而已”
2021-04-26 13:01:54,0:03:51.564000,dbadb58e,特斯拉3没有仪表板哈哈哈哈哈哈
2021-04-26 13:04:27,0:04:19.005000,39510bb4,其他车厂出事包括本田都会召回，特斯拉关键这态度就很牛逼
2021-04-26 13:05:23,0:00:48.851000,c76071e6,挺王老师
2021-04-26 13:05:47,0:02:49.995000,b6062761,不是女车主自己开，是她父亲开的
2021-04-26 13:07:25,0:04:04.526000,e777df96,前面的说不需要仪表板的，我认为你最好拆掉方向盘和脑子，这样你看的更清楚
2021-04-26 13:08:22,0:03:33.163000,ea950756,是司机不对，是路况不好，反正不是我特斯拉的问题（狗头）
2021-04-26 13:10:47,0:02:37.367000,df2f5a81,刹 车 泵 失 灵
2021-04-26 13:11:03,0:03:23.318000,9bb2af3,难怪我开电车，那刹车阻力怪怪的，时大时小
2021-04-26 13:12:14,0:03:03.659000,398d042a,主要的问题是:比亚迪有没有出现这样的情况
2021-04-26 13:12:19,0:02:08.318000,1c843629,特斯拉版MCAS系统
2021-04-26 13:12:37,0:03:05.954000,e5548a9,好家伙，直接优缺点全引进国内
2021-04-26 13:12:55,0:03:47.515000,70edf11a,动能回收受限应该调整踏板助力以保证刹车踏板和单油门模式下相同行程减速力度不变
2021-04-26 13:13:54,0:03:19.420000,4555d837,特斯拉：以后踩不死大象，别买我家车
2021-04-26 13:14:44,0:03:00.988000,83eb8867,这就石锤了单踏板模式就是不安全的
2021-04-26 13:16:18,0:00:41.670000,a3898f25,经典我查我自己
2021-04-26 13:17:56,0:04:13.503000,1791166f,说仪表盘被方向盘挡住的人 你开过车么？我
2021-04-26 13:18:09,0:00:08.334000,8df9755e,这么快的吗？
2021-04-26 13:18:43,0:03:48.556000,eda1c5c4,我就想知道在开启辅助驾驶情况下，动能回收禁用会不会影响到行车安全，车辆能不能自动刹停
2021-04-26 13:21:22,0:03:37.277000,f98af9b,专业评估才能发现问题
2021-04-26 13:21:27,0:03:28.093000,2869fb4b,看到有人说过，站起来死命踩，刹住了，就是腿疼了好几天，还是个壮汉
2021-04-26 13:21:46,0:02:54.019000,777b313c,谁开tsl不戴头盔啊
2021-04-26 13:22:50,0:03:43.139000,66dc946d,刹车问题，不管大小，都很容易出事
2021-04-26 13:23:51,0:00:13.664000,a35c4a0b,热乎的
2021-04-26 13:27:27,0:00:29.090000,3f59b230,不扰乱公共秩序能得到解决吗？
2021-04-26 13:28:30,0:03:00.579000,bb93037f,往前滚就是和油车一样
2021-04-26 13:28:38,0:04:53.553000,1cb09f5c,宝马5系可以算是全身而退了
2021-04-26 13:28:56,0:00:24.887000,d8885048,特斯拉：對啊 要理性 我們才會繼續忽悠啊
2021-04-26 13:29:21,0:03:52.938000,53de16a4,仪表盘都没有，别为难它了
2021-04-26 13:29:25,0:00:42.347000,d8885048,tsla：對 趁車主還沒出來 趕緊打一波
2021-04-26 13:29:27,0:01:09.878000,776655c8,那是把轮毂盖拆了，不是换了
2021-04-26 13:31:18,0:03:18.678000,d8885048,tsla：我跟的us那邊的 肯定因為這邊道路不行
2021-04-26 13:34:41,0:05:05.159000,d31f88e4,已经开始解决用户了
2021-04-26 13:34:54,0:01:20.538000,da1eca1a,高情商比较明显低情商刹车失灵
2021-04-26 13:34:55,0:00:03.561000,b28047e8,这么快的？
2021-04-26 13:37:46,0:03:58.547000,f1bd3c9f,没仪表盘哈哈
2021-04-26 13:37:47,0:00:01.740000,381a92eb,他喵的踩不动还能有记录？
2021-04-26 13:38:08,0:00:39.486000,b94c976d,态度转变？？？？？你以为你特斯拉是什么哦？？？
2021-04-26 13:41:04,0:02:35.333000,fdc5d5ac,金刚腿限定车
2021-04-26 13:41:41,0:02:32.878000,13d18376,？人类什么时候有那么大的脚力可以不用助力泵踩刹车了
2021-04-26 13:41:59,0:04:39.022000,16b2390d,这车不
2021-04-26 13:42:04,0:04:11.079000,194faa57,前面有个放屁的说仪表盘会被方向盘档，你是不是没开过车
2021-04-26 13:46:13,0:04:17.446000,20001daf,责任感
2021-04-26 13:46:42,0:00:16.416000,2ceb6e11,卧槽热乎热乎
2021-04-26 13:47:40,0:01:05.720000,48ea92d8,说换轮毂的是傻么
2021-04-26 13:47:41,0:01:59.100000,404b63be,这是新车啊兄弟们。。
2021-04-26 13:49:12,0:00:08.305000,847a8088,热乎的
2021-04-26 13:50:00,0:01:45.714000,c2632c0,节操卓之前也遇到了
2021-04-26 13:50:54,0:03:03.167000,fb90fcd1,但是她爸爸开的啊 不是她自己开的
2021-04-26 13:51:26,0:05:15.074000,6a312fba,轮胎盖拆了而已
2021-04-26 13:52:59,0:04:42.007000,cbd0d811,这些都是要命的
2021-04-26 13:53:50,0:04:56.455000,da3ea990,（厂家解决问题的态度）
2021-04-26 13:59:39,0:00:34.400000,f34debca,不这样根本解决不了
2021-04-26 14:01:58,0:03:49.538000,7eebf7d8,MODEL 3：哈哈哈想不到吧，先进的我没有仪表板
