uname,mid,level,sex,send_time,like,is_sub,text
jiukkjd,355935350,4,保密,2021-04-26 18:57:26,9843,False,本人是搞电梯安装的，干了四年多了，这四年多电梯行业每次电梯出事故后都会有相应的事故调查，调查是什么原因引起的，然后整个行业改进。这四年电梯行业都改进了那些呢？一.增加电梯轿门副锁，电梯未平层时轿箱内无法强行扒开门。二.厅门增加加强筋，底部增加金属导靴，避免外部撞击导致厅门脱落。三.增加检修状态蜂鸣器，当电梯已检修状态运行时蜂鸣器鸣响。四.机房增加厅门短接开关和检修开关。电梯因厅门锁故障时，维修人员可以直接通过机房短接开关直接短接厅门门锁，且短接是检修开关处于开启状态才起作用，避免维修人员用线短接后而忘记拆短接线造成事故。……之前看到有UP发文说调查表200多起特斯拉刹车失灵事件发现都是车主踩错刹车导致，两百多起那不能很好说明特斯拉车是有问题的，有不合理的地方，是不是得改进呀？竟然还有人洗......
天青水玉,12200059,6,男,2021-04-26 20:20:23,113,True,互联网思维该刹刹车了…
大魔婶婶,31808922,5,保密,2021-04-26 20:31:22,77,True,回复 @天青水玉 :笑死，完全刹不住
不成现充不改网名,340522072,5,男,2021-04-26 20:37:19,63,True,回复 @天青水玉 :互联网思维没问题，蔚来就用了很多互联网方式来营销，然而产品质量跟特斯拉天差地别。
软妹不硬,10920735,6,保密,2021-04-26 20:51:50,95,True,回复 @不成现充不改网名 :而且蔚来的售后是特斯拉永远学不来的，特斯拉就喜欢有人舔
我爱汽油车,25589954,6,保密,2021-04-26 20:54:14,598,True,哪个品牌的车能有这么多人说刹车失灵。不说键盘车手，那都多少出镜的车主了，他们难道买了车闲得没事吐槽这些吗…
战地幽灵Smart,161305998,4,男,2021-04-26 20:57:04,102,True,有个同学在特检院，是你们电梯行业的老伙伴[呲牙]，安全是生命之本啊
流浪的咸鱼,3371351,5,保密,2021-04-26 21:00:36,469,True,笑死了，明明是踩不下去，硬生生说“某些车主力气不足导致”看似理中客，实则拉偏架[热词系列_你细品]
jamesboat,293623,6,保密,2021-04-26 21:07:23,36,True,打开百度—&gt;搜索任意车企名称+“刹车失灵”—&gt;返回百度首页—&gt;搜索幸存者偏差—&gt;思考五分钟—&gt;思考五分钟—&gt;思考五分钟
cyuxx,7529338,5,男,2021-04-26 21:10:36,200,True,什么品牌都有遇到刹车失灵之类的问题，该召回召回，该补偿补偿，就特斯拉死不承认，死都不改[捂脸]
天青水玉,12200059,6,男,2021-04-26 21:18:38,5,True,回复 @不成现充不改网名 :蔚来基数还不够
推拿师007,414009416,4,保密,2021-04-26 21:22:00,4,True,BV1554y1j7JD
疯狂雨人,455622732,4,男,2021-04-26 21:29:36,76,True,回复 @流浪的咸鱼 :失去刹车助力其实也是可以踩下去的不过需要大几十公斤的力量，赛车都是这么踩的，F1更是一百多公斤的刹车力量。但特斯拉显然不应该使民用车刹车力量突然变得很重
端木尘,6437091,5,保密,2021-04-26 21:32:20,7,True,回复 @渠公子就是我 :之前经常被说刹车失灵的车是比亚迪。。。。。。
贼达不六贼达不六,18447000,5,男,2021-04-26 21:35:34,1,True,回复 @推拿师007 :哈哈
无喻伦比,15881364,4,保密,2021-04-26 21:39:50,1,True,uu
APK诡秘,562783079,3,保密,2021-04-26 21:42:05,1,True,"特斯拉系列
https://b23.tv/oDflMD
https://b23.tv/07zvlH"
大亨W,386773952,4,保密,2021-04-26 21:53:51,39,True,电梯行业真的是“每次”都会有调查报告，总局只要发现了任何威胁生命的问题，都会全行业大整改。有兴趣可以搜一下今年4月初发的鼓式制动器。
朔雪12138,24897271,5,男,2021-04-26 21:55:24,16,True,回复 @jamesboat :哪买的六级号
两仪橙青,205371689,4,保密,2021-04-26 21:58:10,2,True,回复 @流浪的咸鱼 :我觉得这句话其实算是友军吧？
晴天不打伞01,16928200,3,保密,2021-04-26 22:11:00,0,True,回复 @渠公子就是我 :也许是背后有人买个车来黑呢[doge][doge][doge]
