uname,mid,level,sex,send_time,like,is_sub,text
思声,135571988,4,保密,2021-04-20 22:04:45,2689,False,微博都没有热搜 无语 华为入局动了太多人蛋糕了 而且还是碾压级的
小李子大大大,103610273,4,男,2021-04-21 09:48:33,26,True,动谁的用脚趾都能想得到
大卫之旅,283356942,3,保密,2021-04-21 11:26:04,14,True,华为要是能和宝马合作就好了，，
大卫之旅,283356942,3,保密,2021-04-21 12:48:19,33,True,回复 @镜谷渊 :德国的机械加华为的科技＝完美
石头砸呀哈哈,356772953,5,保密,2021-04-21 13:34:46,20,True,不过也没事，动他们蛋糕又怎么样，他们也不敢动华为
休伯利安刀片批发,66888367,5,男,2021-04-21 14:19:38,136,True,回复 @大卫之旅 :我更希望华为和五菱合作，干爆一切不老实的车企[doge]
我是一木森林,373903152,5,保密,2021-04-21 16:59:27,101,True,昨天看因为奥迪已经说考虑跟华为合作了
yetmings,8379904,6,男,2021-04-21 17:17:09,37,True,回复 @休伯利安刀片批发 :想想那个画面，宏光ev自动驾驶大江南北满地跑
流星丨蝴蝶,21980763,6,男,2021-04-21 21:51:40,3,True,回复 @大卫之旅 :和国产车合作干翻他们不好？
大卫之旅,283356942,3,保密,2021-04-21 22:02:21,17,True,回复 @流星丨蝴蝶 :和宝马合作更有利于抢战市场，甚至控制市场，，
Saffronsky,699430632,4,保密,2021-04-22 09:33:01,5,True,真什么都上微博
香菇拌饭好,677493583,3,保密,2021-04-22 09:43:09,184,True,华为重新分配市场 做产业的上游 很多企业不开心🙁 我只想说不开心就对了 研发能力比人差活该被超越
痴人慕羽化,97347907,5,保密,2021-04-22 12:58:30,2,True,不花钱就没有
霉西方漏油,672562872,5,保密,2021-04-22 13:37:35,18,True,上热搜你还让特斯拉的“自动”驾驶怎么活
浅若清风过淡若梨花落,170511508,6,男,2021-04-22 13:57:08,2,True,没热搜？我看到过华为卖车的热搜
天上有只牛_,24815811,5,保密,2021-04-22 16:43:46,8,True,那些人都是赚的什么钱 大家明白了吧！
雇乄佣军,13311054,6,保密,2021-04-22 18:58:20,3,True,华为不是和比亚迪合作得嘛
Boowwwwwwwwww,419212324,4,保密,2021-04-22 22:01:07,1,True,说的你自己会买一样
懒洋洋的小肥羊木子,483100149,5,保密,2021-04-22 23:12:52,1,True,回复 @休伯利安刀片批发 :这个真的很牛
wallm1314,75894036,4,保密,2021-04-22 23:59:15,13,True,华为只有负面的才上热搜[吃瓜]
N仔面-,434620018,5,保密,2021-04-23 00:48:09,1,True,感觉不算碾压级吧，看视频觉得不如小马智行啊
此豪非彼豪1999,44599729,4,保密,2021-04-23 12:11:58,1,True,回复 @流星丨蝴蝶 :品牌价值就跟LV普拉达一样，德国造车工艺理念高，更好抢占市场
枫月闲人,109670271,6,保密,2021-04-23 12:40:26,0,True,回复 @N仔面- :工程车而已
搞机虎子,317000644,5,保密,2021-04-23 15:09:32,1,True,好多喷喷加键盘侠[囧]
xLQuBZY5ETSprv,61199514,5,保密,2021-04-23 21:50:07,33,True,回复 @我是一木森林 :德系旗舰车型很多都有l3级别的辅驾的，和华为合作意料之中
人到中年150,336465334,5,保密,2021-04-23 22:29:07,6,True,回复 @Elaman0117 :我这刚买的a7，等奥迪出华为合作的车我就换
xLQuBZY5ETSprv,61199514,5,保密,2021-04-23 22:33:46,4,True,回复 @人到中年150 :买不起，毕竟有钱人也不会把钱分给我们[辣眼睛]
xLQuBZY5ETSprv,61199514,5,保密,2021-04-23 22:34:31,2,True,回复 @人到中年150 :指正：反正你们也不会把钱还给我们。
糖米油盐,166777192,5,保密,2021-04-23 23:59:23,12,True,回复 @我是一木森林 :华为做生态不像小米自己制造（品控真不行，你要认为我说错了那就是你对了），华为跟业界大佬合作，不用考虑其他的，买家对两个品牌的质量也放心
Wacbde,39201432,6,男,2021-04-24 00:17:29,0,True,回复 @浅若清风过淡若梨花落 :过一天就被挤掉了
生命啊_它苦涩如歌,345271432,5,保密,2021-04-24 00:42:57,3,True,汽车界的微软入局了[OK]
狂爆风雨后,86022624,6,保密,2021-04-24 08:33:37,0,True,这些都是小问题，华为的合作伙伴会天天帮华为刷热搜的
这么有意见改名呗,528164924,5,男,2021-04-24 09:40:24,0,True,回复 @大卫之旅 :宝马15年就有合作了，是车机里面的通讯模块
