uname,mid,level,sex,send_time,like,is_sub,text
苍山雪鹰,1483578190,3,保密,2021-05-29 11:39:52,44,False,凡是国产，反手就赞。
十八囗丁心,32932449,6,男,2021-05-28 21:05:52,9,False,好奇复杂路段，和树木挡住半个标牌的识别能力。
超级大桀的曰棠,280116206,6,保密,2021-06-20 20:37:35,0,True,那种除了摄像头识别，标牌应该也可以联网输入吧
扶摇起兮,25987748,6,男,2021-05-30 00:31:03,6,False,"关注了。
用心做产品，大家都会支持国产的。[星星眼]"
龙吕龙,37620590,6,男,2021-05-29 16:41:21,3,False,凡国产，必支持
沄陌_,38028987,6,男,2021-05-29 14:40:00,2,False,冲冲冲 百花齐放
森柒丶,8564968,6,男,2021-05-27 20:00:30,1,False,感觉好像很厉害的[tv_点赞]亚子
威罡transport,356543054,5,保密,2021-06-24 09:03:59,0,False,车看起来像是金旅星辰，但为什么感觉标是开沃
威罡transport,356543054,5,保密,2021-06-24 09:05:41,0,True,好吧，放大看还真看到金旅了
不想写论文的张同学,13793964,5,男,2021-06-14 10:20:00,0,False,头上那个大顶子有没有～
蓝海飛鯊,4401758,6,男,2021-06-05 13:29:31,0,False,衡阳市区，解放路
碎空银月,715314,6,保密,2021-05-29 21:31:51,0,False,未来可期
师爷是装糊涂的高手,450676396,5,男,2021-05-29 14:45:40,0,False,可以。很厉害了
无头士兵,52120945,4,保密,2021-05-29 11:21:06,0,False,居然在衡阳417。
