send_time,text
2021-07-31 20:51:38,货车不敢惹
2021-07-31 21:15:47,让速不让道！
2021-07-31 21:24:00,紧跟时事
2021-07-31 21:24:23,来个左转试试
2021-08-01 00:35:00,遇到这种车我都是加油追上去骂的
2021-08-01 13:27:42,声音闷
2021-08-01 20:12:26,这段路已经被试过了吧
2021-08-02 11:57:32,白车是在赛车？
2021-08-02 12:00:59,666
2021-08-02 12:01:16,撞车了 看来要上自动驾驶
2021-08-02 12:09:24,自动驾驶还是不太敢用。。
2021-08-02 13:29:41,笑死
2021-08-02 13:30:10,这大爷不对劲？？
2021-08-02 13:30:36,求推荐发胶
2021-08-02 13:30:59,这车有点帅啊
2021-08-02 13:31:17,我只想知道多少钱
2021-08-02 13:31:38,有点丝滑
2021-08-02 13:32:10,这里其实挺危险的
2021-08-02 13:33:23,老司机被卡车吓一跳
2021-08-02 13:34:19,下雨天，灯光昏暗路段的标线那才叫恶心
2021-08-02 13:34:46,下雨看不清标线是真的
2021-08-02 13:35:22,我以为那个绿的是车香（doge）
2021-08-02 13:36:06,是我早就发射导弹了
2021-08-02 13:41:31,绿化带这人碰瓷的？
2021-08-02 13:42:23,这人事怎么到绿化带上去的？？？
2021-08-02 13:43:05,碰瓷要是真是碰瓷，我觉得就很精彩
2021-08-02 13:43:31,前提是探测到人吧
2021-08-02 13:44:11,这段动画做的挺高级，加鸡腿
2021-08-02 13:44:35,箭头怪怪的
2021-08-02 13:45:08,为什么看不到内饰？
2021-08-02 13:45:35,车里盖着黑布是什么意思
2021-08-02 13:47:52,我只需要车会自动侧方移位，永远的痛！
2021-08-02 13:48:54,这车是工程车？
2021-08-02 13:49:49,车头长的很凶，是我的菜
2021-08-02 13:50:11,车灯设计好评
2021-08-02 13:50:26,全景天窗？
2021-08-02 13:51:14,听说这车零百加速贼快
2021-08-02 13:51:24,电车都快的吧
2021-08-02 13:51:40,快？刹车行不行
2021-08-03 18:33:00,iGsSS8r8:595GGGG85GGGGGGGGX
2021-08-03 18:33:25,也要证明来过
2021-08-03 18:33:46,还是喜欢原来的BGM
2021-08-03 18:34:04,来战
2021-08-03 18:34:18,前方高能反应，管你是不是战斗人员都给我撤！
2021-08-03 18:34:58,简直可怕啊
2021-08-03 18:35:11,这种视频就不能看弹幂。。。根本不能看
2021-08-03 18:35:23,啊啊啊这个神弹幕怎么变少了
2021-08-03 18:35:47,我去，这里的弹幕都玩出花了，，
2021-08-03 18:36:21,=。=第一次来的时候檀木还很少呢
2021-08-03 18:36:39,第一视角自动驾驶，DNA动了
2021-08-03 18:36:52,○○○○指○○○○○○○○我○○○○
2021-08-03 18:37:04,越来越多的弹幕
2021-08-03 18:37:29,OPPOA53还活着
2021-08-03 18:37:36,智能系统还蛮厉害的呢
2021-08-03 18:38:23,bilibili最喜欢你了
2021-08-03 18:39:07,封面我空间头像小自豪
2021-08-03 18:39:31,弹幕好凶残→_→
2021-08-03 18:39:39,是不是下一步就可以全自动了
2021-08-03 18:40:04,前方高能，TMD战斗人员给给我我
2021-08-03 18:41:11,来战
2021-08-03 18:42:01,世界本就是弱肉强食
2021-08-03 18:43:32,非常轻松，甚至还截了张图
2021-08-03 18:43:47,活着的还不少啊
2021-08-03 18:44:31,已经清过许多弹幕了
2021-08-03 18:44:42,还好我开了密度。。。
2021-08-03 18:44:54,最喜欢你了
2021-08-03 18:47:21,弹幕君辛苦了~~~~
2021-08-03 18:47:41,弹幕君辛苦了~~~~
2021-08-03 18:47:57,有种
2021-08-03 18:48:08,荣耀6x存货
2021-08-03 18:49:22,已全部举报
2021-08-03 18:49:39,前方高能非战斗人员火速车里.........
2021-08-03 18:53:23,我凑！
2021-08-03 18:53:42,前方灭世高能
2021-08-03 18:54:53,此时不刷更待合适！！！！！！！！！！
2021-08-03 18:55:04,请速速离开
2021-08-03 18:55:21,弹幕太多没朋友！
2021-08-03 18:56:06,心疼一方通行
2021-08-03 18:57:11,嗷呜~~~~~~~~~~~~~~~
2021-08-03 18:57:53,就是这一段
2021-08-03 18:58:34,收回之前说的
2021-08-03 18:59:29,神弹幕合影一下～合影一下～↑↑↑
2021-08-03 18:59:42,弹幕再厚一点！！！！！！！！！！顶起来！！！！！！！！！
2021-08-03 19:01:10,已全部举报
2021-08-03 19:02:26,这弹幕好刺激
2021-08-03 19:03:06,基质的我关掉了弹幕～
2021-08-03 19:03:31,那个茶色头发，喜欢穿安全裤踢贩卖机的女孩，我啊，最欢你了！
2021-08-03 19:05:41,神级弹幕
2021-08-03 19:06:25,你們的彈幕呢都沒吃飯嗎
2021-08-03 19:07:47,拜托，请一直保持这样的笑容
2021-08-03 19:07:58,听说发了弹幕就能不卡
2021-08-03 19:08:54,弹幕太薄了啊！魂淡！
