uname,mid,level,sex,send_time,like,is_sub,text
豆丁兽也想住精灵球,14652476,6,男,2021-08-04 16:35:27,133,False,全都是自动驾驶就不用猜前后左右的车要往哪边变道了。假设一个城市里所以的车都自动驾驶系统都统合起来，由交通部的中枢电脑管理，每一辆车的速度，转向都由大数据智能分配，那基本不会出现被别得动不了的情况吧。电脑开车反而比人开更安全。
码头薯条吃到胖,94629915,6,男,2021-08-04 16:53:06,0,True,智能城市，那时候也不需要红绿灯，路口车辆直穿不停车
树下斑驳的时间,325357956,5,男,2021-08-04 17:05:49,6,True,信息安全呢？是很方便了。但是信息安全问题出来了。就像之前的滴滴被查，如此大量的运动轨迹。如果被外国窃取会造成很大危险。
ysyiz,486862368,5,保密,2021-08-04 17:09:43,0,True,自动驾驶配合专门的信息化公路是最好的使用场景。
柱子你他_娘的打歪了,43499179,6,保密,2021-08-04 17:20:12,0,True,这个在做了，只是还比较低级
Minions124,321818784,5,保密,2021-08-04 17:21:23,1,True,回复 @树下斑驳的时间 :这个让我想起了速8里面的场景
爱喝旺仔的王小明,252266962,5,男,2021-08-04 17:48:24,0,True,回复 @树下斑驳的时间 :如果是国家掌控的话就放心了[点赞]
饕餮餍魇,14500206,5,保密,2021-08-04 17:56:51,0,True,回复 @树下斑驳的时间 :怕这怕那不是因噎废食吗？
我欲乘风0821,98553588,5,保密,2021-08-04 18:03:07,5,True,公共交通才是最佳解决方案[doge]
只准吃一口,393432878,5,男,2021-08-04 18:09:36,0,True,自动驾驶出租车，每个人不需要拥有车子，还能解决路况不好的情况
盐和鱼的故事,280694355,6,男,2021-08-04 18:34:15,1,True,所有车确定目的地的时候就规划好所有的路线，路上发生意外情况紧急停车所有车辆都要重新规划路线及停车减速等，其实这些都很复杂很难的
星月宗总管,20456460,5,男,2021-08-04 18:47:43,1,True,断网掉线
梵deep冈,3827850,6,男,2021-08-04 19:12:23,0,True,回复 @大杯柠檬水加冰 :不难，只是需要庞大的计算量
豆丁兽也想住精灵球,14652476,6,男,2021-08-04 19:23:44,2,True,回复 @黑瞳魔龙王 :卫星信号，而且这些你能想到的意外研究员肯定有防范措施的。
盐和鱼的故事,280694355,6,男,2021-08-04 19:36:57,0,True,回复 @梵deep冈 :卧槽，这都能做到了吗
