uname,mid,level,sex,send_time,like,is_sub,text
PsychopathYang,4672453,6,女,2021-10-10 01:36:21,860,False,a柱角落不要放装饰品，加大盲区不好
小昕Pro-Max-Plus,483402652,5,男,2022-04-05 13:38:46,0,True,对！
赌棍法,400743577,5,女,2022-09-06 18:32:31,2,True,不止a柱，车上零零散散的东西能少放的少放，能收纳起来的收起来
亐㔓也,101982399,5,女,2022-10-15 10:57:55,1,True,什么也不放 最好
小鑫源_,370186869,5,男,2022-11-15 14:26:58,6,True,都自动驾驶了，前挡玻璃封上都可以
张亖啊,349203489,5,保密,2022-11-20 15:54:52,0,True,回复 @小鑫源_ :[吃瓜]特斯拉就是牛
叮叮当当萌盛盛,525423931,4,保密,2021-10-10 01:27:40,366,False,用生命在演示，敬佩服佩服
小时候很帅0,44275695,3,保密,2021-10-10 01:31:54,88,True,其实辅助驾驶开了挺长一段路了，我人眼都看不太清，真不敢开六十七，辅助驾驶开六七十稳稳的，觉得挺酷的！就想拍下来，没想到才拍30秒就尴尬接管了[doge]哈哈哈。
一淼不黎_,481498671,5,男,2021-10-11 07:37:02,8,True,回复 @小时候很帅0 :雨太大了，其实辅助驾驶还是可以的！
Teeeee601,1929025501,4,保密,2021-10-11 23:45:17,0,True,没车的人
愤怒的兔砸,7995511,5,男,2021-10-13 18:15:20,11,True,回复 @小时候很帅0 :恶劣天气摄像头视线受阻，可能即便有紧急情况或障碍物，它也识别不出来，就会一直往前开。恶劣天气用AP的话最好还得盯着点别走神。
Robbin_Zhao,479462457,4,保密,2021-10-14 22:50:30,6,True,回复 @小时候很帅0 :因为辅助驾驶系统不知道害怕，也不知道危险，所以敢这么开
Robbin_Zhao,479462457,4,保密,2021-10-14 22:54:23,15,True,回复 @小时候很帅0 :这个时候其实挺危险的，辅助驾驶系统主要靠挡风玻璃上的摄像头，你看不清路况，摄像头拍的画面更看不清
柬埔寨Official,293059099,6,保密,2021-12-24 01:14:55,3,True,回复 @小时候很帅0 :无知者无畏 ap用的摄像头雨里根本看不见
牧嘢,698722479,4,保密,2022-01-29 17:58:13,1,True,回复 @小时候很帅0 :恶劣天气敢60开快速车道的我是真的佩服，这种情况跑慢车道安全很多的，就这样的雨量，在南方的高速上，跑100以上的车有很多的，自己不敢开，不代表别人不开，不怕一万，就怕万一
