send_time,text
2021-04-17 00:22:18,牛壁
2021-04-17 00:52:39,看司机的手抖的不行，心里慌得一批
2021-04-17 06:00:42,这个厉害
2021-04-17 08:15:10,哦吼
2021-04-17 10:09:19,666
2021-04-17 11:02:37,666
2021-04-17 11:05:49,芜湖
2021-04-17 12:03:08,牛逼啊，还会加塞
2021-04-17 12:03:57,咋两个导航
2021-04-17 12:54:16,就在上研所
2021-04-17 13:20:14,刚才发生了什么？
2021-04-17 13:53:07,太夸张了吧？
2021-04-17 14:09:30,牛
2021-04-17 14:11:45,这里咋了，不懂啊？
2021-04-17 14:28:00,對周遭的運動物體判斷能力很強
2021-04-17 14:35:43,前边出租车吧
2021-04-17 15:22:25,科目三同款报音
2021-04-17 15:31:04,真不错
2021-04-17 16:10:48,黑车左转近，急刹了
2021-04-17 16:12:02,如果单纯路障会不会让啊
2021-04-17 16:25:18,这个车疯狂加塞两个车道
2021-04-17 16:42:07,黑车左转太近，要让黑车，所以刹车了
2021-04-17 16:44:39,车的抖动而已，视频快放了所以看起来抖得很快
2021-04-17 16:48:45,这里牛了
2021-04-17 17:25:15,牛！
2021-04-17 17:38:35,这道路难度可以的
2021-04-17 18:24:39,放大招了
2021-04-17 20:40:02,自动驾驶最难的是拥堵变道和加塞。这是人心博弈。
2021-04-17 21:00:48,小米打钱
2021-04-17 21:11:57,最难的不是电动车和闯红灯的？
2021-04-17 21:14:53,那以后物流是不是给大货车设定好导航就送出去了
2021-04-17 21:20:20,加个塞～
2021-04-17 22:00:22,这加塞和杀停 可以啊
2021-04-17 22:00:55,这都可以？
2021-04-18 05:59:48,bgm劝退
2021-04-18 11:11:34,毒瘤红车错过路口实线连续变道，血压起来了
2021-04-18 12:49:30,看了几个片子就是左转的逻辑还得改一改。
2021-04-18 13:41:46,什么是电动星球？我们来一起研究？
2021-04-18 14:12:27,变道有转向灯没有？
2021-04-18 15:39:34,会加塞嘛？
2021-04-18 16:08:40,右边有辆在直行车道右转的坑货
2021-04-18 17:16:45,牛逼
2021-04-18 19:23:17,华为！技术无敌
2021-04-18 21:10:35,你手放哪里呢？给我聊自动化驾驶。你真厉害就应该对自己技术肯定让他撞了。进行赔钱
2021-04-19 18:23:53,破案了  余承东坐在引擎盖里
2021-04-20 12:23:39,这块面板是加装的?
2021-04-20 12:38:30,简直是21年神车
2021-04-20 13:46:24,全是奇葩
2021-04-20 14:28:35,bbc:华为强迫汽车人劳动
2021-04-20 14:31:40,左转让直行
2021-04-20 18:39:07,闯红灯了吧
2021-04-20 20:43:10,华为发布即量产
2021-04-20 21:57:18,刹住了
2021-04-20 22:05:45,这块平板不是没有的吗
2021-04-20 22:59:10,牛逼
2021-04-21 08:56:08,因为是试驾车，量产会整合，这个时间16号
