uname,mid,level,sex,send_time,like,is_sub,text
不玩儿手机,343785172,5,男,2021-04-17 19:26:16,534,False,假的，破案了，反转了，华为租下了整个上海，路上全是演员[doge]
雨打龙鳞万点金,21290650,5,保密,2021-04-17 21:48:10,73,True,啥玩意 辟谣都不会 华为明明是买下了整个上海 你无论怎么开无论啥时候开 周围都是演员[doge]
不玩儿手机,343785172,5,男,2021-04-17 21:53:07,27,True,回复 @雨打龙鳞万点金 :👴格局小了
毕为终端,7942144,5,保密,2021-04-18 10:09:11,35,True,瞎说，明明是大嘴雇了个叉车叉起跑的[抠鼻]
小静静的魅力,478307367,5,女,2021-04-18 10:56:33,13,True,是的，这个事我能作证，是特斯拉亲口告诉我的[滑稽]
猪肉排骨炖粉条,422816706,5,保密,2021-04-18 11:25:21,1,True,老BBC了
风铃木之花,312763327,5,保密,2021-04-18 12:51:10,14,True,当时大嘴好像在引擎盖里开车，我当场就看到了[doge]
像我的喜欢被你看穿-,92608600,5,保密,2021-04-18 22:47:01,3,True,回复 @雨打龙鳞万点金 :破案了，引擎盖里藏着工程师[傲娇]
问道问心问天,26398953,5,保密,2021-04-18 23:08:05,4,True,回复 @小静静的魅力 :是雷总亲口说的吧……它最喜欢干这事儿了
xxxx_xxx_intel,37435547,6,男,2021-04-20 18:25:32,0,True,其实是我在一旁遥控开的[doge]
狼狼上大分,35969423,6,男,2021-04-20 19:17:28,2,True,大嘴在后面推的，在现场我是车轮[doge]
6个硬币的名字不好取,328995288,5,保密,2021-04-21 17:37:46,0,True,不是的吧，我看到余大嘴在引擎盖下面人工驾驶的，所以才稳
zerowilll,498875958,4,保密,2021-04-21 19:42:53,1,True,看你们都吹华为自动驾驶，不吹无敌的特斯拉我很鄙视你们这种墙头草，华为自动驾驶系统最大的缺点就是不能主动加塞和不能防止被加塞！只能说华为自动驾驶系统跟我比还是太嫩了[doge][doge][歪嘴][歪嘴]
射天羊,248917960,5,男,2021-04-21 22:31:54,0,True,回复 @毕为终端 :xswl叉车。[笑哭][笑哭][笑哭]
本人不擅长加狗头,289046479,5,保密,2021-04-24 02:15:54,0,True,回复 @雨打龙鳞万点金 :格局小了 华为还买通了各大媒体 黑特斯拉 甚至把美国都买下来 就为了做一期特斯拉不行的视频
禾禾俞,43198114,5,保密,2021-04-26 19:58:35,0,True,"都是假的毕竟华为AI是可以插帧插到1920的，这些都是华为AI模拟出来给你看的我。都是假的假的

[doge][doge]"
卡哇伊大喵,309103931,5,女,2021-05-06 07:35:55,1,True,[doge]没想到吧我是演员[doge]下次碰见阿尔法我就站在他前面不动[doge]
我也曾玩对抗路,437455903,4,男,2022-05-08 09:49:50,0,True,你胡说，明明大嘴在开车，只不过在引擎盖里面！
