uname,mid,level,sex,send_time,like,is_sub,text
苏沉船,598890,6,保密,2021-03-02 20:53:57,32870,False,王冰冰老师已经决定将谐星路线贯彻到底。宏大开局，百万特效，无人机航拍，帅不过三秒，甚有成龙、周星驰风范。先给自己插满天资聪慧标签，然后菜得惨不忍睹，乌龟都被她屁股给坐扁了。中途假装放弃，又训练了一天学会了滑雪，提高了记者的知识水平，但末尾又放了自己扑倒的画面。剧情跌宕起伏，王冰冰老师不屈不挠，甚至比博人学会螺旋丸还要热血。所以王冰冰老师应该是个搞笑up主。
漫天星辰ヾ,35866989,5,男,2021-03-02 21:23:07,231,True,搞笑区up主实锤[热词系列_锤]
种花椒树的喵酱,73196858,5,保密,2021-03-02 21:43:03,111,True,整活区
阿泽不会白起,424536764,4,保密,2021-03-03 16:00:15,14,True,回复 @种花椒树的喵酱 :我建议送到司空释放天性[doge]
食贫道,39627524,6,男,2021-03-02 20:23:15,59043,False,视频看的我都想学单板了[思考]
初-心-莫-负,630474086,4,男,2021-03-02 20:25:33,1907,True,嘿，饼叔[呆]
逆天D小隆人,40849314,6,男,2021-03-02 20:26:31,1853,True,跟着饼叔总能混到零零散散的赞[doge]
爆炸糖BLOW,23537867,5,保密,2021-03-04 10:40:20,29,True,回复 @逆天D小隆人 :这混得不是零零散散了
被好好霸占的账号,55422277,5,保密,2021-03-02 22:54:03,11349,False,按照平均水平来说 冰冰学习的进度已经不错了 上雪两天不过几个小时 后刃推坡后刃落叶飘都基本学会了 但是最好买个护脸实用还帅气 看到第二天只用了一个口罩 这样哈气容易冻上 确实不建议只戴口罩 其次累了之后也尽量不要直接在雪道上坐下 这种行为一般被称为地雷 一般在高级道比较危险 但是初级道很多新手控制不好速度也很危险 建议累了在雪道侧面休息 滑雪这玩意都戴盔了 希望想体验的朋友们也提前了解一下上雪须知 保证安全最重要 冰冰在录视频的同时也要保证自己的安全[OK]
吃阿鲁高的喵酱,111917904,4,保密,2021-03-02 23:04:36,226,True,带上护脸如何才能认出我家冰冰，在线等[脱单doge]
被好好霸占的账号,55422277,5,保密,2021-03-02 23:05:32,69,True,回复 @吃阿鲁高的喵酱 :哈哈哈哈认不出来确实[笑哭]但是她帅昂[脱单doge]
丰聿,650776843,3,女,2021-03-02 23:07:14,16,True,干货啊！
上海交通大学,204649207,6,保密,2021-03-02 20:16:15,28609,False,看到满山的雪，上海人都羡慕哭了[捂眼]
启明先知,87622394,5,保密,2021-03-02 20:19:02,1500,True,冰冰下次学游泳[doge][doge][doge]
东南大学,36964670,5,保密,2021-03-02 20:19:06,534,True,你也来了[嗑瓜子][嗑瓜子][嗑瓜子]
上海交通大学,204649207,6,保密,2021-03-02 20:21:27,151,True,回复 @东南大学 :你也太快了 评论区买房了吗[doge]
此生无悔恋潇湘,508723953,4,保密,2021-03-02 20:38:13,5062,False,冰冰酱！滑单板的时候重心可以放前那么一丢丢丢丢，但是整体重心偏后多一点，比如小腿可以顶着雪鞋但是腰背重心偏后这样不容易摔！（真的真的没有恶意啊啊啊只是给冰冰提个建议！）
中乔体育,385649620,5,保密,2021-03-02 20:48:29,1325,True,谢谢你，等她回家的时候，我帮忙会转告她的，她还是这么离开不了我。[脱单doge]
积本世界中的CK,645896327,4,男,2021-03-02 20:49:37,298,True,回复 @中乔体育 :别光喝酒啊，你看这花生米多香[doge][doge]
古典部系列,15471740,5,保密,2021-03-02 20:53:59,910,True,"回复 @中乔体育 :醒酒汤的做法有:
香橙皮500克 陈橘皮500克檀香200克葛花250克绿豆花250克 人参100克 白仁100克 食盐300克
【功效】 解酒醒神。适用于饮酒过多，酒醉不醒之症。
1、将橙皮（去白）、陈橘皮、檀香、葛花、绿豆花、人参、白仁、食盐共研磨成末，拌匀，装入瓷罐中备用。
2、服用时，天天2次，每早晚各服一汤匙，用白开水冲服。"
佐藤正义,254606642,6,男,2021-03-02 20:25:35,6240,False,"冰肌玉骨玉花颜，
冰消雪融人愈甜。
女中绝色尘中仙，
神采奕奕性淑贤。"
白嫖宗,481437167,4,男,2021-03-02 20:26:24,85,True,颜甜仙贤[doge]
吃喵酱的椒花o,386367238,4,女,2021-03-02 20:31:32,201,True,说吧备忘录里藏了多久了[doge]
CA上校,28106389,6,男,2021-03-02 22:50:15,13,True,回复 @吃喵酱的椒花o :这id搁这儿排列组合呢[doge]
四川共青团,483940995,6,保密,2021-03-02 20:37:26,13042,False,我们今天用“雪”组词，我先来：“冰雪”“冰天雪地”[脱单doge]
漂在尘世的呆子,9661297,5,保密,2021-03-02 20:40:14,211,True,跟着大佬混总能赚到几个零零散散的赞[doge]
骉垚赑麤犇羴鱻,435131029,5,男,2021-03-02 20:40:23,806,True,雪佛兰科鲁兹
玩B站只是为了听歌,350337864,5,男,2021-03-02 20:42:34,40,True,回复 @骉垚赑麤犇羴鱻 :雪佛兰花了多少钱雇你
东南大学,36964670,5,保密,2021-03-02 20:14:11,20767,False,今天我终于抢前排了，冰冰好美[脱单doge][脱单doge][脱单doge][脱单doge][脱单doge]
Shine丶君焰,479538283,4,男,2021-03-02 20:15:43,871,True,抢不到前排，就和前排混，总能得到冰冰老公的赞[doge]
积本世界中的CK,645896327,4,男,2021-03-02 20:17:40,84,True,回复 @Shine丶君焰 :彦祖这孩子从小就懂事[doge]
几个名都有人注册过香菇,179027445,5,男,2021-03-02 20:28:37,2825,False,天定山！为什么我前两天去没遇到[大哭]
-墨影,288199990,5,保密,2021-03-02 20:39:26,133,True,四舍五入你路过了冰冰[妙啊]
TakeToTheSky,182535908,5,男,2021-03-02 20:43:47,649,True,《从 你 的 全 世 界 路 过》
山栀茵陈,283169263,5,女,2021-03-02 20:48:42,3,True,回复 @TakeToTheSky :带文学家
花二Strange,107486042,6,女,2021-03-02 20:22:59,9585,False,哇！！！
