send_time,text
2021-04-29 08:23:49,有点强
2021-04-29 09:44:02,看着是自动跟前车，不是所谓的自动驾驶呀
2021-04-29 13:22:23,跟车？
2021-04-29 13:49:25,rx450h
2021-04-29 13:57:21,这无人驾驶，还能 加塞？？神奇
2021-04-29 13:57:41,后车已经 举报 成功了
2021-04-29 15:21:14,应该去重庆高架桥那试试
2021-04-29 15:24:56,0
2021-04-29 15:43:20,看不到后视镜
2021-04-29 16:25:33,太慢了
2021-04-29 16:50:43,来个左转
2021-04-29 17:56:45,AI加塞 牛逼
2021-04-29 19:01:19,比特斯拉强
2021-04-29 19:14:15,是因为4倍速的缘故么，总觉得刹车有点点头
2021-04-29 19:34:48,我居然看AI开了11分钟车
2021-04-29 19:36:00,为什么右转灯却往左拐
2021-04-29 19:36:17,脑子也不知道动一动
2021-04-29 19:47:29,这刹车 一脚刹下去不难受吗
2021-04-29 20:13:53,是马斯克拒绝的激光雷达吗？
2021-04-29 20:18:15,转向灯怎么打的？
2021-04-29 20:19:50,这样的加塞速度要挨骂吧？
2021-04-29 20:21:01,对于突然的加塞车怎么处理？
2021-04-29 20:21:50,为啥原地往左打轮？
2021-04-29 20:24:07,4倍速下对行驶的舒适度没感觉
2021-04-29 20:30:45,看到司机的心跳很快 一定很紧张 23333
2021-04-29 20:37:20,好家伙 红灯也会自动停车
2021-04-29 20:44:16,准备变道
2021-04-29 20:49:45,你在哪看到的心跳
2021-04-29 20:54:20,摩托车上高架？
2021-04-29 20:58:52,不会超车 不会急转
2021-04-29 21:28:16,接手呀
2021-04-29 21:28:40,这双手是在冥想吗？
2021-04-29 21:43:22,wtm以为刚刚撞了
2021-04-29 22:18:11,有两台测试车？？？
2021-04-29 22:21:29,雨刷鬼畜起来了
2021-04-29 22:25:59,谁家那么土豪用凌志来做自动驾驶
2021-04-29 22:26:58,视频加了速的，实际车速不快
2021-04-29 22:43:42,表盘显示40码，不慢了
2021-04-29 22:49:21,如果前面有三轮拉着很长的钢管，能识别到吗
2021-04-29 22:51:06,返回去看看超车的那段谢谢
2021-04-29 22:56:36,这前车在做导航？跟着走？
2021-04-29 23:12:07,选择逮虾户模式
2021-04-29 23:17:49,前车也是自动驾驶
2021-04-29 23:24:43,雨刮会自动开吗？
2021-04-29 23:24:50,怎么实现自动变道的？
2021-04-29 23:25:27,感觉好像是固定了线路？
2021-04-29 23:28:07,这个是不是在跟车啊，跟前面的车？
2021-04-29 23:30:51,这个识别的也太远了吧。。。
2021-04-29 23:33:37,估计是个老中医 看见脉搏了
2021-04-29 23:43:33,2个车都是自动驾驶仪测试车，什么跟车
2021-04-29 23:44:29,好奇怎么识别地面这么多车
2021-04-29 23:52:17,这基本是全自动驾驶了 人无干预
2021-04-29 23:54:48,加塞 学习中国驾驶精髓
2021-04-30 00:01:49,注意看屏幕的对向车道的车都能清晰辨别
2021-04-30 00:30:30,可以可以
2021-04-30 00:32:46,车顶高一点的地方应该有类似广角的探测吧覆盖车辆4周
2021-04-30 00:33:27,这是黄埔科学城那一片区吧
2021-04-30 01:01:59,生物岛？
2021-04-30 01:25:15,两辆车自动驾驶吗?
2021-04-30 03:26:28,南沙的晚高峰也就这样了....
2021-04-30 03:27:31,卧槽 6666这些栏杆都行
2021-04-30 07:33:36,牛叉！ 放个骨头狗都能开了
2021-04-30 07:35:39,看pad上 识别车辆
2021-04-30 07:36:38,很想看看突发情况下的应急处理测试
2021-04-30 07:39:13,其实快停车时智能找车位是最难的 狗头
2021-04-30 08:05:00,大家好，我是进来听歌的
2021-04-30 08:20:30,停起。好像有点凶、、转速表有点高
2021-04-30 08:25:16,比推着走快多了。
2021-04-30 08:25:41,"去二仙桥,只能拉一点点"
2021-04-30 08:41:27,那明明是左转灯
2021-04-30 09:26:11,我觉得这样驾驶员精神更需要高度集中，更容易疲惫
2021-04-30 09:52:58,广州南沙
2021-04-30 09:59:04,厉害了
2021-04-30 10:20:46,用0.5倍速度看2倍速。。。。。。
2021-04-30 10:27:16,自动礼让行人不？
2021-04-30 10:31:07,原来这么高级的车雨刮也是刮不干净的，我再也不用纠结雨刮的问题了
2021-04-30 10:36:16,系统自动接管了，转向灯都不用管的
2021-04-30 10:46:01,超车应该是识别前方车辆速度较慢
2021-04-30 10:50:31,不会关转弯灯
2021-04-30 11:00:46,前车探路的
2021-04-30 11:14:05,电动自行车貌似识别出不来，过去了好几辆，屏幕上都没有提示
2021-04-30 11:39:51,外卖小哥飞快
2021-04-30 12:06:39,广州南沙，家门口天天见他们在测试，两种车型，一个雷克萨斯，一个林肯
2021-04-30 12:10:41,不敢走信号弱的地方  桥下地下室
2021-04-30 12:11:40,希望可以来海珠中大做压力测试
2021-04-30 12:21:15,没有灵魂
2021-04-30 13:31:42,看着孩怕
2021-04-30 13:42:54,从这个显示屏就可以知道传感器有多准，羡慕
2021-04-30 13:54:44,这是南沙
2021-04-30 13:55:51,蕉门村
2021-04-30 14:01:18,去万达了
2021-04-30 15:49:13,摄像头拍照建模
2021-04-30 17:22:48,这高峰车也不多呀
2021-04-30 17:23:54,碰见碰瓷的会怎么样
2021-05-02 11:27:16,你刚说完前车就不带路了
2021-05-15 13:16:43,车身一大堆的，警车吗
2021-05-15 13:17:49,行车记录仪是papago吗
2021-05-15 13:18:27,有没有左转
2021-05-15 13:19:19,前面是领航员？
2021-05-15 13:22:51,不来个夜晚
2021-05-17 14:50:27,这他妈叫高峰
2021-05-24 18:09:52,前面车领着？？？不会吧？
2021-05-24 18:11:39,车顶的设备超过百万了吧，
2021-05-24 18:18:00,感觉，还是没极狐那个惊艳
2021-07-31 12:27:33,做导航的光速打脸
2021-07-31 12:30:41,很强
2021-07-31 12:33:49,极狐和这个差得远了
