uname,mid,level,sex,send_time,like,is_sub,text
女装大佬登登酱,10514544,6,男,2021-04-29 18:32:13,44,False,请问双手离开方向盘驾驶扣多少分来着？[吃瓜]
rachel444,95473662,5,男,2021-04-30 00:27:53,0,True,那我可能12都没了[笑哭]
叉叉几级,93896989,5,男,2021-04-30 23:47:57,0,True,测试车可以离开的
K7815463CG,7750205,6,保密,2021-05-07 10:00:53,0,True,问就说握着，不用自动驾驶也有很多人直线不握方向盘的[tv_笑哭]
没名瞅啥,237336844,5,保密,2021-05-10 09:03:22,1,True,请问。你是来砸场子的嘛[doge]
女装大佬登登酱,10514544,6,男,2021-05-10 09:39:22,0,True,回复 @没名瞅啥 :[吃瓜]我不是，我没有，别乱说
pixe_world,11822088,5,保密,2021-05-18 23:47:28,0,True,这个车牌后面带一个试哦，放心扣不了分的
49662255094_bili,384343311,5,保密,2021-04-29 11:47:52,29,False,这种 有什么意义 最早的自动驾驶 就是这个车顶 大帽[doge]
子星722,9087966,6,保密,2021-04-29 11:54:44,2,True,头顶有那个，有屁用[捂脸][捂脸]
看-老鹰贴膏药,350231156,5,男,2021-04-29 14:36:42,6,True,你一生出来就这么会说话吗？
看-老鹰贴膏药,350231156,5,男,2021-04-29 14:37:29,8,True,回复 @子星722 :你连头顶的东西都做不出来，有屁用
爱吃西瓜的开心,21134912,6,保密,2021-04-29 15:05:00,3,True,回复 @卧龙凤雏满地跑 :没法量产就没法率先占领市场
mariao,2395631,6,保密,2021-04-29 17:07:09,0,True,回复 @爱吃西瓜的开心 :手机从一个提包大小做到一掌大小也就是10年的事，况且现在一家都没造出来，都是这么个顶球顶包的状态，你的意思都别做了呗，反正都不能量产
爱吃西瓜的开心,21134912,6,保密,2021-04-29 17:48:08,0,True,回复 @mariao :[嗑瓜子]我的意思谁先出来谁占领市场，极狐已经开始预售了，6月份就可以提车了，虽然说是l2但是和l4区别不是很大
淮校长,6768485,6,保密,2021-04-29 19:15:38,1,True,回复 @爱吃西瓜的开心 :你这不是很大吓到我了，l4条件下基本等于自动驾驶，l2基本就是个辅助驾驶（你可以理解为完全无自动驾驶能力）。
oppression-,22764876,6,保密,2021-04-29 19:31:59,0,True,回复 @淮校长 :现在一众汽车厂商已经和华为合作了
AY菌,111850347,6,保密,2021-04-29 19:48:59,0,True,回复 @爱吃西瓜的开心 :懂了1600x和5600x区别不是很大，骁龙810和骁龙865区别不是很大[呲牙]
爱吃西瓜的开心,21134912,6,保密,2021-04-29 20:41:46,0,True,回复 @淮校长 :华为只是自称是L2，但是你觉得他的L2和L4有区别吗？不能全程自动驾驶吗？
爱吃西瓜的开心,21134912,6,保密,2021-04-29 20:42:28,0,True,回复 @AY_菌 :华为是自称L2，但是他和L4已经没什么差距 ，就目前放出来的实地视频，难道不能自动驾驶吗？
49662255094_bili,384343311,5,保密,2021-04-29 21:54:46,0,True,回复 @mariao :十几年 还不够 别人都有体验车了  而你却还在十几年前 还有什么意义
sbbvia,497341503,3,保密,2021-04-30 09:43:06,0,True,回复 @mariao :极狐顶着大包了吗？
让我瞅一下,289556304,6,保密,2021-04-30 14:29:07,0,True,回复 @mariao :人家极狐咋不顶个包
rubbninja,1351697549,3,保密,2021-04-30 18:08:55,0,True,回复 @帝话之秀 :顶大包的已经可以下载app打车试乘，开放给公众检验了，极狐就放了几段挑选的视频出来，这怎么比
让我瞅一下,289556304,6,保密,2021-04-30 18:20:26,0,True,回复 @rubbninja :19小时前的号你随便怎么说，他头上就是顶了个包哈哈哈哈你在怎么体验他头上还是有个包哈哈哈
rubbninja,1351697549,3,保密,2021-04-30 19:00:29,0,True,回复 @帝话之秀 :也对，顶大包就是丑，还是极狐帅
你一定是个修仙者吧,431170689,5,保密,2021-05-01 10:33:57,3,True,能把成本拉下来就行，不然还真没意义，一百多万谁买得起
mariao,2395631,6,保密,2021-05-03 10:43:31,0,True,回复 @帝话之秀 :极狐实现自动驾驶了吗？能拿出来卖的一样就是个高阶驾驶辅助，跟视频里这个完全自主根本不是一回事
