send_time,text
2022-01-04,道路数据，危
2022-01-04,能不能说清楚，现在哪有自动驾驶，全是辅助驾驶
2022-01-04,太扯了，关了
2022-01-04,看好自动无人机，需要一定门槛
2022-01-04,还有谁
2022-01-04,这些都是碰撞前就推出系统好吧，让驾驶员接管了
2022-01-04,目前不是全自动驾驶，只是自动驾驶，是两个概念好吧
2022-01-04,鬼探头了解下
2022-01-04,非蠢即坏
2022-01-04,下架吧   这个视频
2022-01-04,因噎废食吗
2022-01-04,比亚迪汉？ 
2022-01-04,扯淡么。。。这
2022-01-04,自动驾驶的未来一定是所有的车辆都使用自动驾驶，人才是最不可控的
2022-01-04,这两句话有联系么？
2022-01-04,说的我能活到L5出来一样
2022-01-04,辅助驾驶是自动驾驶？
2022-01-04,更多离谱的车祸这话说的不对吧。。。
2022-01-04,做好了去世的准备
2022-01-04,撞校车，因为一般合格的校车都是比较坚固
2022-01-04,emmm 在未来“过渡期”需要买G55这类车 保安全了
2022-01-04,人家还有后台监视着，必要时刻可以远程遥控驾驶
2022-01-04,选择自己撞车，那我肯定不会买这辆车
2022-01-04,这哥们就是贩卖焦虑的经典案例
2022-01-04,这哥们有点水啊
2022-01-04,自动驾驶的国标都出来了 为什么还用sea的标准？
2022-01-04,这辈子都别想L5
2022-01-04,一切。。。。。。
2022-01-04,那叫辅助驾驶好吧
2022-01-04,这种现阶段人也避免不了
2022-01-04,传导器还行，写文稿的没上过工科大学吧
2022-01-04,无良销售可以把自动辅助驾驶称呼为自动驾驶，你也这么认为？
2022-01-04,下架吧，自动辅助驾驶或智能辅助驾驶不等同于自动驾驶
2022-01-04,只要都用自动驾驶，原则上就没啥车祸了
2022-01-04,极狐 介于L3 和L4之间
2022-01-04,工程伦理呗
2022-01-04,汽车必须遵循法规，让速不让道。不然就是自动驾驶开发人员以故意杀人罪处理！
2022-01-04,如果交通规划本身不合理不科学怎么办呢？
2022-01-04,或许会高一纳米，但自动驾驶难点不在于这个
2022-01-04,油车智能化可不差吧
2022-01-04,新能源最多就是好控制车辆，但这不是自动驾驶的难点。新能源和科技智能化没有关系
2022-01-05,驾驶辅助系统不等于自动驾驶
2022-01-05,你们真的是专业的媒体么 我笑了
2022-01-05,自动驾驶都没刹车吗
2022-01-05,前面几句就是屁话，吓唬谁？以为观众都不知道代码有权重比？安全大于一切，OK？
2022-01-05,懂车帝的视频质量开始向百家号看齐
2022-01-05,大家别急，华为来了
2022-01-05,一点都不严谨咯
2022-01-05,道路数据，危
2022-01-05,能不能说清楚，现在哪有自动驾驶，全是辅助驾驶
2022-01-05,太扯了，关了
2022-01-05,看好自动无人机，需要一定门槛
2022-01-05,还有谁
2022-01-05,这些都是碰撞前就推出系统好吧，让驾驶员接管了
2022-01-05,目前不是全自动驾驶，只是自动驾驶，是两个概念好吧
2022-01-05,鬼探头了解下
2022-01-05,非蠢即坏
2022-01-05,下架吧   这个视频
2022-01-05,因噎废食吗
2022-01-05,比亚迪汉？ 
2022-01-05,扯淡么。。。这
2022-01-05,自动驾驶的未来一定是所有的车辆都使用自动驾驶，人才是最不可控的
2022-01-05,这两句话有联系么？
2022-01-05,说的我能活到L5出来一样
2022-01-05,辅助驾驶是自动驾驶？
2022-01-05,更多离谱的车祸这话说的不对吧。。。
2022-01-05,做好了去世的准备
2022-01-05,撞校车，因为一般合格的校车都是比较坚固
2022-01-05,emmm 在未来“过渡期”需要买G55这类车 保安全了
2022-01-05,人家还有后台监视着，必要时刻可以远程遥控驾驶
2022-01-05,选择自己撞车，那我肯定不会买这辆车
2022-01-05,这哥们就是贩卖焦虑的经典案例
2022-01-05,这哥们有点水啊
2022-01-05,自动驾驶的国标都出来了 为什么还用sea的标准？
2022-01-05,这辈子都别想L5
2022-01-05,一切。。。。。。
2022-01-05,那叫辅助驾驶好吧
