send_time,text
2022-02-08 07:21:22,电车问题
2022-01-16 20:37:52,电车难题能难住电车吗？
2022-01-05 21:53:30,驾驶辅助系统不等于自动驾驶
2022-01-04 16:21:38,撞校车，因为一般合格的校车都是比较坚固
2022-01-04 15:54:24,人家还有后台监视着，必要时刻可以远程遥控驾驶
2022-01-04 15:44:50,选择自己撞车，那我肯定不会买这辆车
2022-01-04 15:31:25,那叫辅助驾驶好吧
2022-01-04 14:50:59,如果交通规划本身不合理不科学怎么办呢？
2022-01-04 14:46:01,或许会高一纳米，但自动驾驶难点不在于这个
2022-02-05 12:13:55,这是伦理问题，和人有关，与自动驾驶无关
2022-01-24 20:38:03,人工驾驶车遇到这样的问题，怎么办呢？
2022-01-12 16:31:50,最优解;牺牲当前车内人员
2022-01-05 19:03:18,自动驾驶都没刹车吗
2022-01-04 19:50:40,这些都是碰撞前就推出系统好吧，让驾驶员接管了
2022-01-04 15:01:52,汽车必须遵循法规，让速不让道。不然就是自动驾驶开发人员以故意杀人罪处理！
2022-03-29 15:35:55,好似
2022-03-08 13:05:47,有激光雷达，放心好了！
2022-02-23 08:59:24,现在都是辅助驾驶，没必要危言耸听
2022-02-20 15:11:08,哪个企业家
2022-02-18 17:55:21,没有数据随便就说：更多
2022-02-10 03:34:44,我选择弹射座椅
2022-02-09 15:36:24,聘个司机就L5
2022-02-05 12:11:42,小看深度学习了，有6万辆L4实测车，超算很快学会如何处理
2022-02-05 12:08:07,测试的自动驾驶事故率，和人工驾驶的事故率比较，谁高？
2022-01-24 07:47:26,什么破节目
2022-01-09 04:07:38,飞虎是啥
2022-01-06 21:38:20,机器人比那些没素质的司机好多了
2022-01-06 07:37:57,有点扯，自动驾驶和驱动方式有啥必然联系？
2022-01-05 19:43:11,你们真的是专业的媒体么 我笑了
2022-01-05 13:58:51,前面几句就是屁话，吓唬谁？以为观众都不知道代码有权重比？安全大于一切，OK？
2022-01-05 09:13:15,懂车帝的视频质量开始向百家号看齐
2022-01-05 03:24:16,大家别急，华为来了
2022-01-05 02:33:42,一点都不严谨咯
2022-01-04 23:54:34,道路数据，危
2022-01-04 22:29:32,能不能说清楚，现在哪有自动驾驶，全是辅助驾驶
2022-01-04 21:03:13,太扯了，关了
2022-01-04 20:22:21,看好自动无人机，需要一定门槛
2022-01-04 20:12:58,还有谁
2022-01-04 19:48:50,目前不是全自动驾驶，只是自动驾驶，是两个概念好吧
2022-01-04 19:36:05,鬼探头了解下
2022-01-04 19:29:27,非蠢即坏
2022-01-04 19:28:50,下架吧   这个视频
2022-01-04 19:26:57,因噎废食吗
2022-01-04 19:04:10,比亚迪汉？ 
2022-01-04 18:52:47,扯淡么。。。这
2022-01-04 18:33:50,自动驾驶的未来一定是所有的车辆都使用自动驾驶，人才是最不可控的
2022-01-04 17:45:00,这两句话有联系么？
2022-01-04 17:18:36,说的我能活到L5出来一样
2022-01-04 17:08:21,辅助驾驶是自动驾驶？
2022-01-04 17:00:12,更多离谱的车祸这话说的不对吧。。。
2022-01-04 16:27:13,做好了去世的准备
2022-01-04 16:05:50,emmm 在未来“过渡期”需要买G55这类车 保安全了
2022-01-04 15:41:18,这哥们就是贩卖焦虑的经典案例
2022-01-04 15:38:59,这哥们有点水啊
2022-01-04 15:36:38,自动驾驶的国标都出来了 为什么还用sea的标准？
2022-01-04 15:34:29,这辈子都别想L5
2022-01-04 15:32:16,一切。。。。。。
2022-01-04 15:29:46,这种现阶段人也避免不了
2022-01-04 15:15:26,传导器还行，写文稿的没上过工科大学吧
2022-01-04 15:12:00,无良销售可以把自动辅助驾驶称呼为自动驾驶，你也这么认为？
2022-01-04 15:11:14,下架吧，自动辅助驾驶或智能辅助驾驶不等同于自动驾驶
2022-01-04 15:03:42,只要都用自动驾驶，原则上就没啥车祸了
2022-01-04 15:02:51,极狐 介于L3 和L4之间
2022-01-04 15:02:23,工程伦理呗
2022-01-04 14:53:19,看门狗2
2022-01-04 14:41:49,油车智能化可不差吧
2022-01-04 14:39:17,新能源最多就是好控制车辆，但这不是自动驾驶的难点。新能源和科技智能化没有关系
