send_time,text
2022-01-28 09:06:28,平安中心
2022-01-28 09:25:22,很强
2022-01-28 10:20:49,9分钟后进入CBD
2022-01-28 10:24:53,这里真热闹啊
2022-01-28 10:25:08,灵活
2022-01-28 10:32:46,往9分之后看
2022-01-28 13:05:23,牛逼啊
2022-01-28 15:50:49,晚高峰可真堵
2022-01-28 15:51:09,牛逼无保护左转要来了
2022-01-28 15:52:19,灯好美
2022-01-28 15:52:44,会进酒店大堂
2022-01-28 17:43:17,感觉速度好慢，旁边全是超车
2022-01-28 22:31:09,很厉害，希望越来越好，千万别是像之前的一些企业后台控制作假
2022-01-29 00:58:07,牛皮
2022-01-29 01:29:46,精选
2022-01-29 02:16:46,高精地图道路标线少一个这车就得玩完
2022-01-29 03:47:36,速度慢
2022-01-29 07:38:50,没有安全员啊。也太不对行人负责了。
2022-01-29 08:21:52,什么公司
2022-01-29 12:14:31,深圳啊这是
2022-01-29 13:38:13,来重庆，上下坡、S弯安排
2022-01-29 18:59:40,前面的带点脑子，实时控制比自动驾驶还难
2022-01-29 19:21:36,不是慢，是遵守交规
2022-01-29 19:21:52,无人车按限速行驶
2022-01-29 19:23:52,当地许可auto x可以全无人啊
2022-01-29 19:24:16,AutoX在政府支持下全无人已1年多
2022-01-29 20:52:28,后车没刹住，撞上了自动驾驶车，传感器撞坏怎么办
2022-01-29 21:14:13,高速有几个匀速90的，大部分超速的较多
2022-01-29 21:17:26,就是速度慢，比公交还慢
2022-01-29 21:27:49,好
2022-01-29 22:39:01,强啊
2022-01-30 01:12:08,安全员不累吗
2022-01-30 10:52:41,牛啊
2022-01-30 13:03:15,后排有人
2022-01-30 13:04:43,能干翻华为吗
2022-01-30 17:13:35,没有，空车
2022-01-30 17:14:04,安全员挺放松
2022-01-30 17:14:42,为让安全员休息，12:19还换人了
2022-01-30 17:15:38,看9分钟后CBD更有意思
2022-01-30 17:26:45,牛啊牛啊
2022-01-30 18:41:18,安全员手不累吗
2022-01-30 19:15:57,为了让安全员休息，12:19 换人
2022-01-30 19:16:18,看了半天，你倒是变个道超个车啊
2022-01-30 19:18:25,看09:00之后的晚高峰吧
2022-01-30 21:54:59,一直被超车
2022-01-30 22:42:51,没前途
2022-01-30 22:44:05,跟车空间还是有点大啊，加塞了这么多
2022-01-30 23:05:13,被无限加塞了
2022-01-31 08:11:12,atuox是哪个啊？
2022-01-31 09:38:36,遇到收费路段，无人车无法缴费怎么办？
2022-01-31 10:07:57,水平很差，高速行驶极慢，从来不超车
2022-01-31 11:05:51,旁边车：闹鬼了
2022-01-31 11:36:37,只走货车道？
2022-01-31 11:40:13,走公交车道，违章怎么办
2022-01-31 11:41:59,以后全换成自动驾驶，你觉得还会有加塞狗吗
2022-01-31 12:04:33,如果都是自动驾驶就不会有加塞了
2022-01-31 12:14:16,这不违规了吗 停在网线内
2022-01-31 12:25:16,安全员结是无相手印
2022-01-31 12:39:58,甩特斯拉几条街了
2022-01-31 12:54:34,想来加塞的人发现这车没有司机会不会觉得撞见鬼
2022-01-31 12:55:39,路人看了吓着了
2022-01-31 12:56:23,没人坐在驾驶座，现在不违法吗
2022-01-31 13:20:36,能上路？
2022-01-31 14:25:28,高峰就有点慢
2022-01-31 14:51:20,上海这边报备了就可以 但是后排技术在的 有紧急停车按钮
2022-01-31 16:26:43,要是被交警查车怎么办。。。
2022-01-31 16:35:50,加速播放可以把一些处理不好的地方“滤波”掉
2022-01-31 17:26:12,技术挺好，但是我不会把命交给机器。
2022-01-31 17:47:44,加油~
