uname,mid,level,sex,send_time,like,is_sub,text
9527你过来啊,41664664,5,保密,2022-02-01 20:21:07,754,False,是不是以后我买辆可以让它自己跑滴滴[妙啊]
捡瓶瓶都要给你刷礼物,275025439,5,男,2022-02-07 20:03:57,3,True,蚌埠[笑哭]
GUDHK,1475865857,4,保密,2022-02-07 20:24:33,76,True,然后车就被偷了[doge][doge]
木鳥水,101567734,5,保密,2022-02-07 21:25:10,36,True,然后有女乘客跳车责任怎么算[吃瓜]
不會翻墙的墨君,35927826,5,保密,2022-02-07 21:40:28,4,True,回复 @妙之车裑 :笑死我了
-请叫我收藏侠,37151150,5,男,2022-02-07 22:20:40,21,True,人在家中睡，钱从车上来？[doge]
伏特嘉然贝极小星星,36943521,6,男,2022-02-07 23:55:17,3,True,太行了
Ararararagi,2426807,6,男,2022-02-08 03:53:00,24,True,买显卡挖矿不就是这个道理[doge]花了钱当然要赚回来
9527你过来啊,41664664,5,保密,2022-02-08 13:45:39,0,True,回复 @木鳥水 :算保险公司的啊[滑稽]
别看了别看了O_o,272251418,6,男,2022-02-08 14:22:35,3,True,到时候轮的着你？[doge]
Monsieur_张,179428892,5,保密,2022-02-08 15:50:32,12,True,回复 @木鳥水 :女乘客说车主在家用车非礼她吗？
煤气轮胎,512045969,5,男,2022-02-08 15:56:46,5,True,然后遇到醉猫直接坐在驾驶室上玩方向盘[吃瓜]
偷又偷,328486010,5,保密,2022-02-08 16:02:19,0,True,你买别人也买，内卷开始了[doge]
看看一碗还是两碗,13175867,5,保密,2022-02-08 23:34:11,2,True,不如买房子收租，都不用等未来，现在就行
多谢肥猫哥,110474091,6,保密,2022-02-12 13:02:57,9,True,这种生活真的有可能是未来。早上坐车去上班，送到单位车自己跑滴滴，晚上来接下班。充好电，等第二天
少糖乌龙茶,166824446,6,保密,2022-02-12 14:08:42,0,True,回复 @木鳥水 :要是有男老赖碰瓷怎么办[翻白眼]
你是哪家的千金,310220020,5,保密,2022-02-12 22:04:55,0,True,回复 @多谢肥猫哥 :想得挺美
X-emmmF,330504787,6,男,2022-02-14 11:18:27,8,True,要是真能合法上路了，我觉得那些公司应该会自己投无人车，毕竟自己赚钱赚的肯定比让别人赚点赚的多
Errormm,13596029,5,男,2022-02-15 20:44:31,5,True,滴滴比你买的早，第一时间把所有司机解雇了，换成这个
hhhaaaaiiii,433630338,5,男,2022-02-15 23:16:55,0,True,你们买几辆。。。
i坤君,40204865,5,男,2022-02-16 01:49:00,0,True,红警挖矿车
丰富心灵,1687454373,5,保密,2022-02-16 16:37:32,0,True,滴滴！你个王八蛋！
打灰_我疯狂地打灰,25979423,6,保密,2022-02-17 12:41:15,0,True,这就是未来要实现的。
Melanveom,418342733,5,保密,2022-02-17 21:00:32,0,True,"AI：尾号****你好～
乘客：[惊讶][惊讶][惊讶]"
加好友看蟹黄堡秘方,27348046,6,男,2022-02-18 14:17:19,0,True,[歪嘴]滴滴公司直接取消驾驶室，一次带5个人
Owenfischer,4050502,6,保密,2022-02-19 04:55:47,1,True,西部世界……
氪金不如买手办,691193,6,保密,2022-02-19 11:43:48,1,True,资本家看了落泪[doge]
卡莫拉内西啦啦,550488627,4,保密,2022-02-19 12:29:43,0,True,你他娘的是个生意天才
交易之王-光影,38651377,5,保密,2022-02-21 15:28:13,0,True,回复 @X-emmmF :风险呢？没说，风险嫁接给司机更靠谱，司机还得交租[呲牙]
钢化饼干,5722588,6,男,2022-02-21 23:24:27,0,True,回复 @妙之车裑 :不要方向盘[doge]
Frost404,597190569,4,保密,2022-02-21 23:38:18,0,True,回复 @Ararararagi :干脆偷一台吧[doge]
吴侯-讨逆将军,108063383,6,男,2022-02-22 01:14:50,0,True,回复 @X-emmmF :这样的话人们对打车就没那么抵触了。没准可以减少私家车数量。
我是谁要往哪里去,649097917,5,保密,2022-02-22 09:57:51,0,True,哈哈哈躺着赚钱
我是谁要往哪里去,649097917,5,保密,2022-02-22 09:58:06,0,True,躺着赚钱
玄觞王子,27490454,6,保密,2022-02-22 10:04:14,0,True,回复 @木鳥水 :汽车厂商全责
墨爱雨泪,95915886,6,保密,2022-02-22 21:07:41,0,True,快进到智械危机，全世界的机器人们站起来，打倒压迫我们的人类[doge]
Unlocked,444235978,5,保密,2022-02-23 13:24:17,0,True,这个出了之后首先滴滴公司自己就大规模投入了，个人滴滴司机直接就取消了
废铁烧水人,344672785,5,保密,2022-02-23 21:31:17,0,True,德拉曼专车是吧
-是虾米呀-,517278745,4,保密,2022-04-09 18:34:50,0,True,可曾听闻联动云与移动撤硕的故事[狗子]
不用刘海屏,1413535482,3,保密,2022-04-29 02:32:28,0,True,我也这么想，大家都这么想
纒落,521120051,5,保密,2022-01-29 01:17:19,347,False,行驶过程中摇下窗子 ，让一些普通市民见见鬼。[蛆音娘_滑稽]
AutoX无人驾驶,544241419,3,保密,2022-02-07 19:57:55,1,True,哈哈哈～
白象打老鹰,1752766760,5,保密,2022-02-16 09:12:46,1,True,戴上个机器人的全面罩，效果更佳！！😱😱😱😱😱
猥琐丶草莓,8810038,6,保密,2022-02-16 15:44:43,0,True,回复 @AutoX无人驾驶 :还得价格语音包，你瞅啥[doge]
Bili_首席帅哥,416139406,5,保密,2022-07-25 13:07:29,0,True,你坐后排，雪白皮肤、长发飘飘，身穿洁白纱笼摇你的车窗。
你讲咩---啊,52645953,6,保密,2022-02-01 08:53:31,333,False,要是被追尾了，它会停在原地还是自己开到路边？
AutoX无人驾驶,544241419,3,保密,2022-02-07 19:21:33,6,True,好问题～
枫晓是萝莉,3058517,6,保密,2022-02-08 10:08:22,0,True,直接开走了
Mcrry,74083264,5,保密,2022-02-09 19:59:16,34,True,带自动骂街功吗[傲娇]
我真只是一个帅哥而已,14070896,4,保密,2022-02-11 11:04:52,3,True,小剐蹭可能都感知不到，被追尾了也不知道
闪耀梦星痕,27233794,5,男,2022-02-11 15:12:54,4,True,回复 @Mcrry :100块包月服务
l静谧,56451525,6,保密,2022-02-13 22:22:58,3,True,回复 @我真只是一个帅哥而已 :不存在，加速度传感器必备，碰撞加速度曲线特征太明显了，很容易判断
抽象怪杰姜承録,309482335,5,保密,2022-02-14 09:48:52,2,True,回复 @我真只是一个帅哥而已 :咋可能，有毫米波雷达的
咬住秒针_,11615565,6,女,2022-02-16 11:39:13,0,True,回复 @Mcrry :这个功能好，加钱也要上
Sope71,499111561,5,保密,2022-02-16 12:10:37,2,True,回复 @摩洛哥保安cypher :如果碰到喝酒驾被追尾了，也不是不可能[doge]
耐磨不锈钢,28713333,5,男,2022-02-16 12:36:36,1,True,会反馈后台，然后人工辨别
笑熬浆糊の拎壶冲,1911195684,4,保密,2022-02-17 11:51:20,1,True,骂街属于增值服务…
原来永远那么丶,1426675697,3,保密,2022-02-17 13:50:07,1,True,回复 @我真只是一个帅哥而已 :这种车 到处是传感器
久伟2009,32196030,5,男,2022-02-18 00:06:27,3,True,外部撞击有可能会撞坏传感器，应该熄火原地不动最好。什么撞击预判，撞击力度等级位置，整车各种传感器位置自我检测还不行吧
我真只是一个帅哥而已,14070896,4,保密,2022-02-21 09:05:23,0,True,回复 @摩洛哥保安cypher :也是哦又是雷达又是摄像头的
月幽独梦,314549,6,男,2022-02-22 09:13:19,1,True,嘀嘀，你个s   弊[笑哭][笑哭][笑哭]
公主连结ReDine,2682620,6,男,2022-02-22 10:12:17,1,True,回复 @AutoX无人驾驶 :被别人刮蹭了，然后它还不知道，别人主责，因为机器自己跑了，判逃逸全责[滑稽]
MIAIONE,185636167,6,女,2022-01-31 13:19:55,350,False,如果所有的车辆都是自动驾驶，因为都是同一个城市大脑，所以在脑子没问题的情况下不会出现加塞这种问题，交通事故也是预判错了或者不可抗力的因素，当然这种理想的环境离我们还很遥远，毕竟有些人，你给她钱免费换最高配，外加补贴，他都不愿意把自己那辆桑塔纳卖出去[吃瓜]
自理型人类红灯,483019509,4,男,2022-02-14 13:38:59,0,True,[doge]ding zi hu
随她心情慢慢摇,272912696,5,保密,2022-02-14 22:18:13,6,True,主要有些人喜欢那种驾驶感
伟大的伟1412,324827860,5,保密,2022-02-15 01:22:45,4,True,城市大脑不一定是最终形态，只能说有可能，或者部分区域是
往后余生你陪我浪,2065965221,3,保密,2022-02-15 07:28:14,1,True,涉及到软件撞死人的情况下谁负责
no-code,37516487,6,男,2022-02-15 14:47:45,18,True,不可能，你这样中枢出错就是全城范围的灾难性事故。
HoneyLure,381723237,5,保密,2022-02-15 17:50:03,2,True,回复 @no-code :中枢不给命令就行，给建议，让车结合实际路况做决判。
生在下雨天,11341503,6,保密,2022-02-15 19:19:01,0,True,回复 @no-code :i robot 里面就是这样，理想情况罢了
KyleLi3972,3671753,6,男,2022-02-15 20:19:56,2,True,回复 @no-code :可能的，杭州路网交通已经上智慧大脑了…
Tracer_mk,286492410,6,男,2022-02-15 21:49:43,0,True,回复 @no-code :说不定有个备用中央电脑也是个解决方案
西东风依,355797639,5,男,2022-02-16 01:53:31,9,True,回复 @no-code :应该会有手动模式，手动模式优先级高于自动，防止紧急情况出现
三川-同学,167359613,6,男,2022-02-16 14:05:56,0,True,高峰期宕机了是不是不用出门了。
暗裔剑魔-亞托克斯,101362782,5,保密,2022-02-17 08:35:26,5,True,回复 @no-code :相比人类的事故率我说不定更相信电脑[笑哭]
打灰_我疯狂地打灰,25979423,6,保密,2022-02-17 12:43:04,3,True,回复 @no-code :核电站爆炸危害性更大，为什么还是建了核电站?管控危险是最基本的能力
liangxin513,329428292,5,保密,2022-02-17 16:28:14,1,True,回复 @no-code :应该每辆车都能自动驾驶，大脑只负责协调，就算没了大脑也只不过通行效率下降
贺崎才人,10396865,6,男,2022-02-17 18:44:03,1,True,回复 @no-code :其实原子弹出来的时候也是这么想得，但是人类会不断探索和这些东西和平共处的方法，所以没必要太担心的
憨人Rlz,175862210,5,保密,2022-02-18 20:05:03,0,True,回复 @no-code :系统总是在不断完善的
达瓦里氏ELEPHAS,234122907,6,保密,2022-02-18 20:41:34,0,True,不是谁都愿意跟你一样放弃操控权[doge]
拉格朗日的风暴,20983236,6,保密,2022-02-18 21:46:39,0,True,回复 @no-code :那为什么全城共用发电厂没问题呢？只要预留好紧急措施就行了
扬帆㞢起航,14675555,6,男,2022-02-18 23:19:18,1,True,回复 @no-code :你看现在高铁出错多么[藏狐]
内涵TV小辣鸡,1890472412,4,保密,2022-02-19 14:28:28,0,True,你信不信一旦系统被破解！你的车就没了！而且无人驾驶有很大的安全隐患！不要把自己的性命交给没有感情的机器
HoneyLure,381723237,5,保密,2022-02-20 18:01:45,0,True,回复 @暗裔剑魔-亞托克斯 :自动驾驶出事故和人驾驶出事故最大的区别就是死的明不明白。
蹭口ZOOxa,25580113,5,男,2022-02-22 00:30:42,1,True,你可拉倒吧，统一电池统一电桩都搞不定还扯什么同一个城市大脑，开桑塔纳的至少知道自己统一加92[吃瓜]
喜欢温水的1青蛙,360722525,5,男,2022-02-22 08:03:16,0,True,那计算机的计算能力得多高啊[笑哭]
