send_time,text
2021-07-08 19:11:53,在写遗嘱吗
2022-02-02 12:38:09,10:32 无保护左转
2021-06-19 18:30:43,听说出了上研所 效果差啊
2021-05-29 16:41:36,凡事都有个经过努力
2022-01-31 17:26:12,技术挺好，但是我不会把命交给机器。
2021-05-16 22:47:09,把嘟嘟声换成“呆逼”就人性化了
2021-07-01 19:46:17,开局几段视频，全程靠一张嘴
2021-04-26 22:50:44,点头夸张了点
2021-08-03 19:20:34,留硬币
2021-04-29 20:37:20,好家伙 红灯也会自动停车
2021-08-03 19:17:21,经典的一幕啊
2022-02-08 14:07:01,别人撞你咋办
2021-05-15 01:31:23,特斯拉算个屁啊
2021-07-07 02:15:37,念就完了
2021-08-03 19:09:18,不愧是B站最厚弹幕
2021-04-23 16:08:48,7年。。。是我格局小了
2022-02-06 15:49:35,刚刚是不是走公交专用道了
2022-04-04 12:23:20,测试员需要驾照吗
2021-04-17 20:40:02,自动驾驶最难的是拥堵变道和加塞。这是人心博弈。
2022-02-06 14:05:03,安全距离不会造成更拥堵好不，间距变大启动跟车也会更快
2021-04-25 21:31:06,老余很忙
2022-01-30 17:14:04,安全员挺放松
2021-04-18 13:56:44,这是碾压，特斯拉他配吗 
2021-04-24 11:48:18,超过特斯拉
2022-08-19 13:49:11,因为前车变道，怕前车的前车突然减速。
2022-02-23 20:10:33,春节跟车距离？这种跟车距离很安全好吧，春节堵车还不是因为发生交通事故，没事故不会堵好吧，就慢一些
2021-04-21 08:35:08,左转转大弯，现实很多都错了。
2021-04-24 17:43:34,太蓝了
2022-01-28 15:51:09,牛逼无保护左转要来了
2022-11-19 22:02:34,我去，以后遇到特斯拉一定要远离，靠，害人。
2021-04-29 22:56:36,这前车在做导航？跟着走？
2021-04-29 21:28:16,接手呀
2021-05-16 14:41:13,前面的，你说特斯拉全程无人介入，你吹狼BI那？？？
2022-01-31 22:48:05,这个路段不需要安全员吗？
2022-02-03 15:27:26,可以，以后上班可以在车上吃早餐
2022-01-31 18:03:43,有本事进了医院也别把命交给机器
2022-02-08 00:48:44,说机器不可靠的！难道路上的车祸是机器开的？
2021-04-30 09:59:04,厉害了
2022-01-31 14:51:20,上海这边报备了就可以 但是后排技术在的 有紧急停车按钮
2021-04-22 11:51:46,特斯拉:刹车给我控制包你安全
2022-11-14 00:09:48,雨天是最容易感应错误的时候，多试几次就好
2021-04-21 23:00:02,手敢拿来吗
2022-01-31 19:04:59,碰撞就不要担心了
2022-02-01 17:18:24,还行
2021-04-24 15:05:11,强
2021-04-18 03:33:33,特斯拉根本不配在这儿比
2021-05-09 10:29:13,碾压特斯拉
2022-05-07 12:02:03,没看明白弹幕，视频现在说的是特斯拉接管性能强大。
2021-08-04 20:50:33,未来已来
2022-02-01 17:09:51,所有的车都在超你，说明你慢了，移动路障
2022-02-01 11:40:44,停车车距也太夸张吧
2021-11-08 14:24:06,这怎么不密集，不抬杠能死么，不会说话不说能死么
2021-07-07 18:27:24,特斯拉根本比不了好吧
2022-02-22 10:00:32,着车距！真长！
2022-01-31 23:06:24,冰雪路面还可以吗
2022-02-19 12:37:59,被无限加塞
2021-05-20 20:47:10,怕马教徒喷，委婉点只能说不比TSL差2333
2021-04-27 21:26:07,这还不算冲出去？那啥样算出去
2021-04-17 14:28:00,對周遭的運動物體判斷能力很強
2021-04-20 19:50:33,特斯拉能比吗
2021-04-23 00:45:13,感觉和小马智行差不多
2021-04-19 20:53:30,优化下刹车就更好了
2022-01-29 19:21:52,无人车按限速行驶
2021-04-22 02:24:44,好蓝
2021-04-29 20:44:01,这尼玛是把命托付给电脑了！
2021-08-04 19:08:15,l4
2021-08-21 00:45:31,chen余方案？？？？
2022-11-15 13:22:59,暴雨当然不能开太快
2021-04-30 10:36:16,系统自动接管了，转向灯都不用管的
2021-04-22 09:36:40,刹车好像不柔和
2022-02-01 08:43:31,我在现场。 坪山 黑色的车。
2022-02-19 12:30:23,被人蹭etc怎么办
2021-04-24 21:31:22,刚才那个黄车怎么个意思啊
2021-04-29 20:13:53,是马斯克拒绝的激光雷达吗？
2021-07-11 16:03:41,这个加塞牛逼了
2021-04-27 23:38:57,爷孙局
2021-08-03 18:53:23,我凑！
2021-04-20 22:48:35,特斯拉重新定义了自动驾驶，华为比不了特斯拉的脸皮
2022-10-24 12:15:47,理论能识别二百米内的红绿灯
2022-02-13 14:00:06,这路标这么清晰，你换个已经很多年的小路试试？路标残缺不全
2022-02-14 14:14:09,目前自动驾驶只有两种，一种是中国，一种是特斯拉
2022-01-31 23:46:13,秋名山行吗？
2021-04-22 20:55:20,特斯拉连弟弟都不算
2021-04-20 17:04:38,碾压特斯拉
2021-04-29 19:14:15,是因为4倍速的缘故么，总觉得刹车有点点头
2021-04-19 12:58:01,我等第三代doge
2021-04-22 11:41:51,太兰了
2021-04-17 15:22:25,科目三同款报音
2022-02-19 12:32:50,我发现他在高速上有个毛病一直走最右道这一点也不安全吧
2022-01-31 12:04:33,如果都是自动驾驶就不会有加塞了
2022-01-31 23:24:15,上海不让
2021-04-30 00:33:27,这是黄埔科学城那一片区吧
2021-04-26 13:13:40,吹牛逼一个顶三
2021-04-25 13:46:45,哈哈，这里那些所谓华为请来的临时演员（外卖小哥）不演戏了？（狗头）
2022-05-18 18:45:56,快。华为粉快说华为好。华为榜！
2022-01-31 22:00:50,安全员好辛苦啊
2021-04-21 07:38:53,←现在而已
2022-02-08 23:47:48,实际上驾驶员睡着了哈哈哈
2021-08-07 22:41:44,那您的界面能不能别设计的和特斯拉一样？
2021-04-30 10:20:46,用0.5倍速度看2倍速。。。。。。
2022-09-05 23:25:09,反正呢。我现在不推荐买p7了，硬件不行，技术也不行了
2021-05-13 14:00:24,特斯拉？？？？你这是在侮辱谁
2022-02-17 18:19:31,肯定经过同意的啊
2022-02-03 22:24:56,可以跑滴滴赚钱了吗
2022-08-14 12:27:34,都喜欢开快车道？
2021-04-23 23:14:32,直行红灯
2022-02-07 08:32:39,没油了怎么办
2021-08-03 19:21:42,我爱你我爱你
2021-04-21 15:37:10,手扶是为了防止出问题
2021-04-20 20:43:10,华为发布即量产
2021-04-29 13:22:23,跟车？
2021-04-20 16:53:50,父子局
2021-04-21 16:34:46,最蓝
2021-05-29 19:55:37,明显低于平均车速反而不安全
2021-06-24 21:05:20,沉鱼方案？？？
2021-04-22 17:38:56,小泥鳅
2021-08-03 18:33:25,也要证明来过
2021-08-01 00:35:00,遇到这种车我都是加油追上去骂的
2021-04-30 22:08:12,希望给车加抓拍违章并自动上传给交警队的功能
2021-05-03 10:14:16,生命还是要握在自己手里
2021-08-04 17:35:37,超声波方案跑不快吧
2021-04-22 08:21:36,最蓝的
2021-07-01 20:15:45,这叫没剪？
2022-02-06 11:47:18,作弊！安全员用原力在操纵(doge)
2022-02-06 18:21:00,手都一直没变过
2022-01-31 23:27:15,加速播放也把后面CBD精彩路段“滤波”了
2021-04-22 20:53:13,华为 NB！
2021-04-20 04:27:15,急刹多了点
2021-04-24 17:11:22,小米表示有高通爹就行了
2021-04-24 21:43:26,恶劣天气测试有没有
2022-02-19 12:34:09,估计是个电车
2021-04-29 23:25:27,感觉好像是固定了线路？
2021-06-26 09:38:29,看右上角，测试车后面的一辆车帮测试车挡住了左侧车流才让测试车成功并线，up主请继续忽悠
2021-04-20 20:37:06,故意的故意的，你都领先这么多了还损特斯拉一嘴哈哈
2021-04-30 08:20:30,停起。好像有点凶、、转速表有点高
2021-04-24 20:37:09,防止出事情，毕竟有特斯拉开的头
2022-02-07 20:52:05,司机在练功
2021-04-21 14:50:20,车载激光雷达，可以认出路障等障碍物，不会出现摄像头认不出的情况
2021-04-24 12:40:33,特死啦拿车主当测试员了
2021-04-23 01:13:54,好像钻缝真的比我强
2021-04-22 14:10:32,这刹车
2021-04-30 08:25:16,比推着走快多了。
2021-09-08 15:27:44,就特死啦那l2技术拿出来害人
2022-02-08 02:37:18,到了重庆导航不好就寄了
2022-02-07 19:37:37,前排提示：up开启了“评论精选”
