send_time,like,text
2021-05-07 22:46:10,12,别闹，余大嘴在前备箱视线不好而已[吃瓜][吃瓜][吃瓜]
2021-05-11 22:41:24,1,每卖出一辆就有一个大嘴失去，没有买卖就没有伤害
2021-05-04 07:15:37,10,压线 遵守交通规则
2021-05-04 14:54:31,7,这种，前车走了才走，
2021-05-07 06:31:37,1,还是怕压了旁边的实线，胆子太小了。
2021-05-08 01:22:18,3,不要标题党可好，这个视频我看过，不是需要接管，而是自动驾驶胆子小点，要多等会儿 于是他手动开了
2021-05-08 07:02:31,0,回复 @花开莫与流年错_ :我在视频里也是这么解释的啊。
2021-05-09 13:27:42,2,回复 @沪中农 :所以你是标题党啊，有问题嘛？
2021-05-09 16:01:18,0,回复 @胸小的不要讲话 :好吧。就按你ID定的规则，我没资格说话
2021-05-11 10:06:40,1,回复 @胸小的不要讲话 :不需要接管，但事实上接管了，标题没有问题
2021-05-04 22:09:47,2,有时候需要接管也正常，看标准好像到L5才无需接管。
2021-05-05 11:00:48,3,那种需要整个道路都是智能的，道路的信息随时与车辆保持交换，到那时有可能驾驶的最高权限不是人，而是人工智能
2021-05-06 19:47:57,2,安全和法规的优先级在前，有些特殊情况只能也必须由人来下判断，比如单行道前方临时有车把路堵死了，车机也不能原地掉头（法规上算逆行），机器不能代替你“违规”
2021-05-03 23:25:18,2,那个位置看上去好小啊
2021-05-08 19:41:47,1,反正原则就是怂呗
2021-05-08 21:39:06,0,你来
2021-05-10 10:27:16,6,是的。应该学特斯拉直接开撞是吧[偷笑]
2021-05-10 10:42:56,0,回复 @叁霓喔 :去学驾驶，你就懂了
2021-05-13 23:45:34,2,怂？设置的程序就是在交规法规的范围内行驶，以安全为主的前提来行驶的
2021-05-16 14:46:04,4,安全，守法是底线，没毛病
2021-05-17 09:36:43,3,守法才是基本！
2021-05-17 10:11:48,1,特斯拉不怂。
2021-05-24 18:52:50,0,幸亏是华为，换别家不撞出去才怪
2022-08-18 14:43:29,110,"鹏友您好，抱歉给您带来了不好的体验，我们已经收到您的建议，将尽快反馈给相关部门进行优化，感谢您的支持~

熟悉不？[笑哭]"
2022-08-18 15:18:54,1,简直真实[笑哭]
2022-08-19 06:24:23,0,已经反馈 优化就不一定了[呲牙]
2022-08-20 16:42:25,0,回复 @猛男就是我 :你开到小鹏哪款车？
2022-08-21 13:11:52,1,回复 @猛男就是我 :我证明，确实优化了，优化了夜间可以使用lcc的bug，杜绝了lcc的夜间事故
2022-08-23 14:29:19,0,回复 @pixe_world :是的，N版本（至享）确实是搞成了0点后就不能用LCC了。太可恶，这么搞下去，呵呵……
2022-08-19 13:08:15,51,开车就好好开 别说什么辅助 辅助用多了 自然而然会越来越放松 刚开始还手扶着 还看路 越来越大意 看看手机也没事 玩玩游戏也可以 眯一会也问题不大 这就是个潜移默化的过程 到时候迎接你的就是车祸了
2022-08-19 14:31:56,4,我恰恰相反，自己开容易累，辅助能缓解疲劳。
2022-08-19 19:24:20,1,回复 @就是那个工 :开着都犯困 都解放了反倒精神了？
2022-08-19 20:56:47,5,回复 @Sun言叶 :当然，自己开累，交给辅助能节省精力，用过就知道了
2022-08-19 22:35:44,0,回复 @就是那个工 :那就祝你多用 多省了
2022-08-19 22:36:35,0,回复 @就是那个工 :我就不用了 开个车的精力还是有的 安全第一
2022-08-19 22:49:08,1,回复 @Sun言叶 :哦
2022-08-20 01:11:43,0,回复 @名字大概七个字 :？那你用了辅助还能躺还是咋的
2022-08-20 02:28:09,4,回复 @Sun言叶 :你先把驾照考了再接着聊行么？
2022-08-20 08:15:20,3,回复 @Sun言叶 :建议你租个车开一趟跨省的高速之后我们接着聊
2022-08-20 08:20:37,4,回复 @Sun言叶 :没人在乎你用不用[给心心]
2022-08-20 18:14:44,0,回复 @名字大概七个字 :你怎么敢说我没开过跨省。。。笑死
2022-08-20 18:15:18,0,回复 @暹纙 :有多明显。。。不用辅助的人多了去了 有点武断哇 。。
2022-08-20 18:16:14,0,回复 @凌晨大无赖 :挺多的 你看这么多人喷我 包括你[给心心]
2022-08-20 18:17:49,0,回复 @暹纙 :高速累了不应该找服务区休息么 你经常疲劳驾驶？
2022-08-20 18:18:19,0,回复 @vvstar :我要是有驾照 怎么说？张口就来是吧
2022-08-20 20:58:33,1,回复 @Sun言叶 :来秀秀啊，别光说不练啊[给心心]
2022-08-20 22:15:26,1,回复 @就是那个工 :自己开着感觉累了最好还是停车休息，辅助驾驶人一放松很容易就会发困了
2022-08-20 22:18:00,0,回复 @vvstar :这不得赌点啥？
2022-08-20 22:45:46,3,"回复 @不知道咋整的陈 :我个人认为这个道理理解起来并不难:
打个比方，比如疲劳度100就要下服务区休息。
自己开，比如200公里会达到100，就要下去休息了。
辅助驾驶，节省精力，对我来说疲劳度可以一直保持在60，那么就不会那么累，还能有更多的精力来观察路况。
比起疲劳度一直增加早晚会到100，始终维持在60我个人觉得更安全。"
2022-08-20 23:57:01,0,回复 @就是那个工 :你叫不醒一个装睡的人 跟小孩子这么较真干嘛
2022-08-21 11:49:25,0,类似于机的自动驾驶吧
2022-08-28 19:53:26,0,高速上长时间驾驶的时候可以用一用，减少注意力负担，晚上或者山区就尽量自己开了
2022-09-07 00:37:03,0,技术就是来给人用的
2022-09-09 18:32:36,0,用过再说吧，反正我是觉得高速上能极大减缓疲劳
2022-09-09 22:00:07,0,一看就是没用过辅助驾驶的
2022-09-09 22:01:15,0,回复 @Action_Lee :张口就来？我用过的话怎么说？
2022-09-09 22:03:38,0,回复 @dada123 :缓解腿部疲劳 但分散注意力 尤其高速更容易让人困倦 你自己找找那些辅助驾驶撞墙的视频去看看
2022-09-09 22:09:19,0,回复 @Sun言叶 :我说的就是自己用辅助驾驶的感受，他撞墙难道不是自己的问题么……困了就该去休息，而不是把辅助驾驶当自动驾驶用，自己在睡觉。
2022-08-18 14:37:42,31,问题出在芯片算力上，小鹏再怎么腾挪算力的极限摆在那里，可以说1000tops以下的算力都不能真正做到自动驾驶，硬件到了1000后再完善算法就能无限接近自动驾驶
2022-08-18 15:19:30,0,确实，xavier估计这样已经是极限了
2022-08-18 23:13:35,6,我同事是英伟达orin x的开发人员之一，他说需要4000算力才能达到L4
2022-08-19 13:32:32,1,回复 @就是那个工 :yysy堆算力没有意义。现在神经网络的视觉是有缺陷的，无法验证的。有论文显示，随着算力的提升，神经网络的准确率提升非常有限。我个人感觉神经网络已经到极限了
2022-08-19 13:33:10,2,回复 @内修仙功外持神器 :就现在这种神经网络，就算到4000pflops都没有用。。
2022-08-19 13:33:47,0,回复 @内修仙功外持神器 :一个不可验证的东西谁敢让他开车啊
2022-08-19 22:27:59,0,回复 @黑暗之声 :不可解释，直觉上确实不敢让他开。但是人的脑子为什么能开也是不可解释，所以这个问题不好说。
2022-08-20 00:21:26,2,回复 @ylrylrylr :主要是现在神经网络会犯人永远不可能犯的浅显的错误，目前来看这些错误简直不可饶恕不可理喻不可定位不可修复，产生这些问题的核心原因就来源于不可解释
2022-08-20 23:48:22,0,为什么是1000？
2022-08-21 04:51:06,3,我倒是觉得厂商会拿算力当借口，去淘汰老车或者卖硬件，硬件是骨架软件是灵魂，我从消费电子行业历来的经验来看，我们的供应商不缺好的硬件，我们的软件一塌糊涂，什么都想做又不想花钱花时间，希望中控大屏不会变成广告播放器
2022-08-23 18:09:29,0,再怎么自动驾驶也不能阻止别人撞你，除非人手一辆自动驾驶。并且没有手动驾驶模式
2022-08-25 13:08:01,0,回复 @white丿白 :那如果有人黑进来用来攻击别人
2022-09-08 08:35:03,0,胡说八道，比参数是吧？
2022-09-08 08:35:49,0,回复 @内修仙功外持神器 :堆参数没意义，看看fsd beta吧
2022-08-20 10:16:03,16,总有人把辅助驾驶当自动驾驶[捂脸]
2022-08-20 14:08:51,0,然後就變成不負責任駕駛[脱单doge]
2022-08-18 19:51:22,4,NGP这种功能，如果长期使用，自然而然的就会放松警惕，注意力不集中。问题是NGP能不能识别出每一次需要人工接管的场景，提示后是否有足够的时间和空间来人工处理。
2022-08-18 21:34:08,0,接管冗余确实也是个重要的方面
2022-08-18 14:24:26,4,所以说 普通用户真的没必要购买NGP 虽然现在已经开始送了 谨慎使用为好
2022-08-18 15:19:42,0,当lcc用就好
2022-08-18 13:57:20,4,非常赞同标题
2022-08-18 17:19:50,0,[doge]
2022-08-20 07:41:27,2,"我这人比较老套，除了absebd这类不想要任何辅助驾驶功能,完全信不过这类能掌握油门和方向的辅助驾驶"
2022-08-20 10:07:26,0,当然可以
2022-08-23 08:28:27,0,我也是，短途自己开还不过瘾，毕竟后驱还是好玩[doge]长途跑高速开定速巡航放松脚累了就果断服务区休息，反正目前我对大于等于l2的自动驾驶既不信任也没需求[藏狐]
2022-09-03 08:18:52,0,"辅助驾驶最可怕的就是会减少你的精神集中[doge]

比如你本来也累，自己开勉强能开，开辅助驾驶没事一段时间之后可能就困了脑子迟钝了反应不过来了"
2022-08-19 11:57:04,2,有一说一，只看这视频和up主的描述，我还是觉得沃尔沃的领航辅助更好一些（本人V90车主），对于有车插进来的情况，对前车的识别切换相当积极，刹车很果断。只是在复杂路况比如换匝道，完全需要手动。会的很会，不会的真不会[doge]
2022-08-21 21:17:19,0,家里XC60，一毛一样的体验
2022-09-07 20:31:23,0,别吹了，xc90和小鹏都长时间开过，沃尔沃直接不是一个档次，直线都画龙
2022-08-19 09:56:00,1,……
2022-08-19 14:04:29,2,如果路上所有车都用同一套平台的自动驾驶，机器错误的概率可比人要小的多，你没看up都不想理你，说话要过脑子
2022-08-19 17:27:44,3,那建议你别坐飞机
2022-08-20 08:15:05,3,那以后建议走路
2022-08-20 08:20:02,3,建议走路
2022-08-21 12:57:01,0,回复 @温柔蝴蝶忍 :问题是你这个前提[思考][思考]
2022-08-24 17:01:06,0,不是交给机器，而是一群你不知道的程序猿[doge]
2022-08-25 09:38:42,1,因为电子眼能看见人看不见的东西。所以有时候辅助驾驶会在没有行人的情况下减速。
2022-08-23 01:48:28,1,我那次看朋友直接把驾驶交给电脑我就心慌，没出事是我运气好[不问天_吃瓜]
2022-08-23 10:38:33,0,人机共驾，不能完全交
2022-08-21 12:58:33,1,没体验过，心里还是有疙瘩[捂眼][捂眼]
2022-08-19 21:52:56,1,算了吧，信不着电脑，能把自己的命交给不知道啥时候就能出bug的系统，人得多缺心眼。
2022-08-19 22:11:53,0,[捂脸]
2022-08-19 05:50:51,1,我记得5G规划里有自动驾驶赋能 车上算力不够 就把数据上传去处理 可能还有技术没完成
2022-08-19 09:56:46,0,这个感觉技术更难
2022-08-19 13:30:21,1,不可能，最多车联网共享信息，数据上传处理有线网络带宽延时可靠性都远远不足，更别说无线技术
2022-08-19 13:36:17,1,不是解决算力不够，而是彻底抛弃神经网络，靠车间消息通知，完全不需要算力。现在车企把大家引入误区，搞得好像算力够，一切都会好起来一样。实际并不是这样，神经网络堆算力没有意义，他还是不可验证。
2022-08-20 14:16:22,0,"快进到致谢危机
你家语音助手控制车子撞人[脱单doge][doge][doge]

玩笑话[doge][doge][doge][doge][doge][doge][doge][doge][doge]"
2022-08-20 14:33:26,0,云游戏不是自己硬件不够直接云电脑上3080显卡 自己电脑只是显示器 挺卡的网速不够 汽车处理算力应该也可以就是不知道现实不[笑哭]
2022-08-23 08:37:39,0,不是计算转移云端，而是做智慧道路，搞车路联网、车间联网。实际上自动驾驶的一大困难在于探测道路信息很难，在局部信息下做驾驶决策更难；但如果可以让车和路和其他车直接交换信息，每辆车获取的信息准确度将大幅度上升，驾驶决策难度会大幅度下降
2022-08-18 19:46:50,1,能洗一下玻璃吗
2022-08-18 18:31:31,1,P5的3.2激光雷达版本，都有你说的情况！我再支持一下！插队车识别也是避让不及时！
2022-08-18 21:34:42,0,哎，这么看目前的体验都不够好
2022-08-18 15:12:31,1,说实话 每次看到接管都心惊胆战的，本来买车准备要加自动驾驶的，现在想想还是算了吧现在的lccacc解放脚踩油门也够用了，等个五年十年自动驾驶技术成熟了再换车也不迟
2022-08-18 15:20:09,0,目前lccacc就已经足够了，ngp这类目前属于高不成低不就
2022-08-18 15:05:28,1,30t算力的极致[脱单doge]
2022-08-18 15:20:25,0,xavier真的极限了
2022-08-18 15:55:52,0,30算力的极致事小鹏p5的城市ngp。跟小鹏p7算力一样
2022-08-18 21:36:21,0,回复 @追必谴 :现在是真的开始怀疑城市ngp能做成什么效果……
2022-09-06 18:10:11,0,回复 @就是那个工 :不管什么效果，都是第一梯队。目前也就华为hi版和小鹏的城市ngp具备城市导航辅助驾驶的的能力。fsd又进不来，国产加油吧
2022-09-24 08:58:04,0,2.8就是反向升级
2022-09-10 12:28:03,0,一味堆算力没用的 算法不行 再高算力也没用 特斯拉才72算力 另外72是备份 但是特斯拉可以通过纯视觉做到任意地点 不需要高精地图 激光雷达 毫米波雷达就能导航行驶 这就是算法差距
2022-09-06 13:35:19,0,什么时候接管，个人总结是：前方修路，马上上下匝道，雨雪天气且较大，前方事故，前方有重型卡车（听说ngp对于长条形板车识别不准），前方突然变道。其他时候用着还是很舒服的，没从开了ngp真的比起自己开轻松很多，注意路况就OK。总有人把辅助驾驶当成自动驾驶……..甚至开了就感觉万事无忧自己玩去，出了事只知道penq
2022-09-06 13:40:42,0,[支持][支持][支持][支持]
2022-09-05 23:24:13,0,一直负向优化，越来越保守
2022-09-05 13:40:17,0,哟，冒险岛bgm
2022-09-05 14:26:44,0,哦哟？老岛民？
2022-09-05 18:53:12,0,回复 @就是那个工 :现在还在玩呢[笑哭]
2022-08-24 23:19:56,0,还好我的车子辅助驾驶还要自己把控方向，歪了还要手动回正[吃瓜]
2022-08-22 08:13:45,0,[妙啊]现阶段丰田的自动驾驶感觉比自己开还累（不过还没上过高速）
2022-08-22 00:10:50,0,想买P7了   感觉真的不错[打call]
2022-08-22 21:01:52,0,等明年改款吧，现在没必要买
2022-08-25 02:56:12,0,回复 @就是那个工 :明年改款贵啊，本身改款就要涨价，其次国家补贴没了再涨一次[辣眼睛]
2022-08-25 11:14:25,0,回复 @我当然厉害啦 :改款领先很多东西诶，如果不在乎800v 230kw电机 热泵 8155芯片 ，倒是可以买现款当家用车用无所谓的
2022-08-25 11:49:40,0,回复 @就是那个工 :都是要钱的，而且其中8155应该是可以后期升级
2022-08-21 21:16:17,0,还有人说不能不看路要辅助驾驶干什么。辅助驾驶帮助分担一部分操作压力之后驾驶员可以把更多注意力放在观察周围上面，而且相对可以推后发生疲劳驾驶的时间。
2022-08-21 02:39:50,0,"其实就是人工智能算法中存在着黑盒，所以只能一包错就直接退出

连原因都不知道，优化自然是无从谈起"
2022-08-21 11:59:02,1,欢迎多科普，这个功能现在需要大神们多讨论多普及
2022-08-21 16:45:03,0,回复 @就是那个工 :不是从业者所以不能说的很细，单从视觉来讲吧：全自动驾驶经常会出现离谱的撞车事件，其背后的根因就是视觉系统无法判断反常的场景，比如说“看不见”路上横着的白色卡车，其实就是没有考虑到这样的场景。而普遍的解决方案就是在出现异常的时候直接退出，但是由于是“异常”所以出现连原因都不知道的退出也在情理之中。
2022-08-24 19:52:44,1,其实不是这样的，ai其实不属于算法范畴，出错也不会退出。。。只会输出报错提示（如果真直接退出了那是代码问题不是ai问题。)，优化的话也其实可以做得到，只需在出现错误的环境下给予正确的返回进行再次训练
2022-08-25 15:26:06,0,回复 @Leyikon :你的后半句正是人工智能驾驶的软肋——真实世界的极端场景那么多，车厂哪里能全部考虑上？说白了这不是某个技术的问题，而是这个社会还没准备好迎接大智能驾驶时代。
2022-08-26 10:48:55,1,回复 @今夜无人入睡 :是这样的，ai的缺点就是不确定性，永远有出错的可能，再加上现在道路上也没用特意的为自动驾驶汽车优化
2022-08-20 16:46:21,0,我一个朋友买的小鹏p7鹏翼版，高架上用NGP手机玩斗地主，哎。管不了，我也是小鹏p7，我就喜欢自己开一个劲超车，不超车容易困
2022-08-21 11:58:16,0,斗地主……让他注意安全啊我的天
2022-09-06 18:12:43,0,想开点，就算撞了故障车[脱单doge]还有保险兜底换新车。
2022-09-06 18:12:58,0,就是被撞的太废命
2022-09-06 22:15:46,0,回复 @追必谴 :我这车已经被撞过两次了 这不活的好好的[脱单doge]
2022-08-20 11:10:17,0,辅助驾驶出了事故，公司无责[脱单doge]。还敢把命交给他们
2022-08-21 11:57:59,0,不敢，只敢交给自己，所以我看路
2022-08-20 09:15:39,0,不中用还要掏钱？
2022-08-20 10:07:47,0,别刀了，后面已经送软件了，我是老韭菜
2022-08-25 02:57:39,0,回复 @就是那个工 :送软件的车别说NGP了，连LCC都开不了，OTA遥遥无期[妙啊]
2022-08-25 11:13:27,0,回复 @我当然厉害啦 :不是说十月嘛
2022-08-25 11:49:15,0,回复 @就是那个工 :预计10月[doge]
2022-08-20 08:27:12,0,掉ngp确实体验和不好
2022-08-20 00:36:16,0,同 up，2.8更新后用 lcc 体验明显能感觉到差了很多，跟车很不流畅
2022-08-18 19:43:46,0,"我是p5E版，更新之后也发现了刹车力度这个问题，不知道是不是有人反馈跟车太远还是怎么得，非得到跟前再补一脚很重的刹车。跟车距离也变近了。可能是激光雷达的信心大了吧，总觉得算力不能发挥激光雷达的作用，反正现在是这样。
非常感谢up主在科普辅助驾驶的边界和作用，希望更多的人看到"
2022-08-18 21:35:57,1,"那看来不是我一个人有这个感觉，我记得2.7版本的减速非常平顺，很早就有逐渐减速的反应。

感谢您对视频的认可[抱拳]"
2021-04-29 18:32:13,44,请问双手离开方向盘驾驶扣多少分来着？[吃瓜]
2021-04-30 00:27:53,0,那我可能12都没了[笑哭]
2021-04-30 23:47:57,0,测试车可以离开的
2021-05-07 10:00:53,0,问就说握着，不用自动驾驶也有很多人直线不握方向盘的[tv_笑哭]
2021-05-10 09:03:22,1,请问。你是来砸场子的嘛[doge]
2021-05-18 23:47:28,0,这个车牌后面带一个试哦，放心扣不了分的
2021-04-29 11:47:52,29,这种 有什么意义 最早的自动驾驶 就是这个车顶 大帽[doge]
2021-04-29 11:54:44,2,头顶有那个，有屁用[捂脸][捂脸]
2021-04-29 14:36:42,6,你一生出来就这么会说话吗？
2021-04-29 14:37:29,8,回复 @子星722 :你连头顶的东西都做不出来，有屁用
2021-04-29 15:05:00,3,回复 @卧龙凤雏满地跑 :没法量产就没法率先占领市场
2021-04-29 17:07:09,0,回复 @爱吃西瓜的开心 :手机从一个提包大小做到一掌大小也就是10年的事，况且现在一家都没造出来，都是这么个顶球顶包的状态，你的意思都别做了呗，反正都不能量产
2021-04-29 17:48:08,0,回复 @mariao :[嗑瓜子]我的意思谁先出来谁占领市场，极狐已经开始预售了，6月份就可以提车了，虽然说是l2但是和l4区别不是很大
2021-04-29 19:15:38,1,回复 @爱吃西瓜的开心 :你这不是很大吓到我了，l4条件下基本等于自动驾驶，l2基本就是个辅助驾驶（你可以理解为完全无自动驾驶能力）。
2021-04-29 19:48:59,0,回复 @爱吃西瓜的开心 :懂了1600x和5600x区别不是很大，骁龙810和骁龙865区别不是很大[呲牙]
2021-04-29 20:41:46,0,回复 @淮校长 :华为只是自称是L2，但是你觉得他的L2和L4有区别吗？不能全程自动驾驶吗？
2021-04-29 20:42:28,0,回复 @AY_菌 :华为是自称L2，但是他和L4已经没什么差距 ，就目前放出来的实地视频，难道不能自动驾驶吗？
2021-04-29 21:54:46,0,回复 @mariao :十几年 还不够 别人都有体验车了  而你却还在十几年前 还有什么意义
2021-04-30 09:43:06,0,回复 @mariao :极狐顶着大包了吗？
2021-04-30 18:08:55,0,回复 @帝话之秀 :顶大包的已经可以下载app打车试乘，开放给公众检验了，极狐就放了几段挑选的视频出来，这怎么比
2021-04-30 18:20:26,0,回复 @rubbninja :19小时前的号你随便怎么说，他头上就是顶了个包哈哈哈哈你在怎么体验他头上还是有个包哈哈哈
2021-04-30 19:00:29,0,回复 @帝话之秀 :也对，顶大包就是丑，还是极狐帅
2021-05-01 10:33:57,3,能把成本拉下来就行，不然还真没意义，一百多万谁买得起
2021-05-03 10:43:31,0,回复 @帝话之秀 :极狐实现自动驾驶了吗？能拿出来卖的一样就是个高阶驾驶辅助，跟视频里这个完全自主根本不是一回事
2021-05-18 08:02:18,0,回复 @mariao :麻烦看看两者的路况以及交通参与者丰富度再来说话，视频中的路况比起极狐路况不知道好了多少[OK][OK]
2021-05-26 08:33:18,0,回复 @rubbninja :可以全城跑，还是某个没几个人和车园区内跑？
2021-05-26 09:36:28,0,回复 @沙漠魅族 :现在是北京亦庄区和广州南沙区几百平方公里的公开道路
2021-04-29 18:05:27,23,其实我相信，自动驾驶的科技水平，但我不相信的是行人的素质
2021-04-30 00:57:18,0,自动驾驶水平也不值得相信
2021-04-30 08:40:01,0,回复 @笑笑笑～ :按照你这逻辑 这世界上没什么值得相信的咯[脱单doge]
2021-04-30 14:56:16,0,回复 @一小只大胖熊 :那我补充一下，现在在售所有所谓的自动驾驶都不值得相信
2021-05-04 07:45:15,0,自动驾驶可以规避行人。
2021-05-08 15:45:17,0,技术就是要解决这些问题，都是理想环境，就没啥事干了
2021-04-29 17:28:26,11,不能在重庆开的自动驾驶 都是技术不成熟的[吃瓜]
2021-04-30 11:20:36,9,刚看完没有华为极狐的路况复杂 还是头顶几十万的激光雷达方案  浪费我的时间[捂脸]
2021-05-16 12:17:42,2,其实是华为把大家胃口吊高了，一个月以前我还认为这个是非常牛的
2021-05-16 12:32:34,1,回复 @安东日记 :像这样的技术很多公司都能行 重点是华为自研的激光雷达价格做到了白菜价  没有几家能做到
2021-05-22 19:34:38,0,华为高精度地图，短期内不可能在所有地方铺上，成本也很高，在一些大城市没问题，像我们这种十八线小城市，等我下一辈估计能用上
