send_time,text
2021-05-03 22:43:33,右边实线系统比较保守不越线，就需要等待前方通畅才能过去
2021-05-15 12:39:32,标题党
2022-08-18 14:02:36,你玻璃碎了？？？
2022-08-18 14:24:16,所以说 普通用户真的没必要购买NGP 虽然现在已经开始送了 谨慎使用为好
2022-08-18 19:55:14,哈哈哈哈
2022-08-19 00:07:46,蔚来：？？？？？
2022-08-19 06:22:08,软件bug
2022-08-19 09:00:09,比自己开还累
2022-08-19 18:54:29,卧槽
2022-08-19 20:03:53,压根没识别货车
2022-08-19 21:51:03,后车碰这样的都得骂，最烦这种正常开前面还没车的突然减速
2022-08-20 10:21:16,居然有敢不看路的勇者
2022-08-20 10:21:53,看着不像碎了，可能是撞鸟了
2022-08-20 16:05:50,避让救护车好评
2022-08-20 16:41:19,高铁自动驾驶还有个驾驶员看路呢
2022-08-21 03:16:35,那还要辅助驾驶有何用？？
2022-08-21 11:16:22,车流瞬息万变，不看路全凭辅助驾驶很容易出事
2022-08-21 11:44:13,那岂不是比我自己开都累
2022-08-21 13:10:12,极氪001那个沙雕ACC前方一变道就减速……
2022-08-22 19:13:45,确实是公厕级辅助驾驶。这种东西现在就不该能上市卖
2022-08-22 21:20:30,啊啊啊啊
2022-08-22 23:37:16,大货车缺德，高速上变道转向灯都不打
2022-08-23 20:19:09,变道会打转向灯吗
2022-08-24 16:48:29,应该是检测到前方有车所以提示吧
2022-08-25 00:12:26,好家伙这个真的危险
2022-08-25 18:45:55,师傅你别念了！
2022-08-31 17:22:45,11秒时候，中控屏上识别了一个东西，但是实际路上好像没有
2022-09-03 10:32:43,那个是上面的测速摄像头 仔细看看得出来
2022-09-04 12:55:27,《公厕》
2022-09-08 22:25:25,后侧方有超车，所以系统自动减速了
2022-09-10 08:47:06,十一秒那儿，哥们儿，那个是电子眼
2022-09-14 10:06:47,辅助驾驶就是能让你脚歇会，你人也歇那你就等着哪天彻底歇吧
2022-11-18 11:30:28,这个玩具方向盘在哪买的，还会闪灯
2021-04-29 08:23:49,有点强
2021-04-29 09:44:02,看着是自动跟前车，不是所谓的自动驾驶呀
2021-04-29 13:49:25,rx450h
2021-04-29 13:57:21,这无人驾驶，还能 加塞？？神奇
2021-04-29 13:57:41,后车已经 举报 成功了
2021-04-29 15:21:14,应该去重庆高架桥那试试
2021-04-29 15:24:56,0
2021-04-29 15:43:20,看不到后视镜
2021-04-29 16:25:33,太慢了
2021-04-29 16:50:43,来个左转
2021-04-29 17:56:45,AI加塞 牛逼
2021-04-29 19:01:19,比特斯拉强
2021-04-29 19:34:48,我居然看AI开了11分钟车
2021-04-29 19:36:00,为什么右转灯却往左拐
2021-04-29 19:36:17,脑子也不知道动一动
2021-04-29 19:47:29,这刹车 一脚刹下去不难受吗
2021-04-29 20:18:15,转向灯怎么打的？
2021-04-29 20:19:50,这样的加塞速度要挨骂吧？
2021-04-29 20:21:01,对于突然的加塞车怎么处理？
2021-04-29 20:21:50,为啥原地往左打轮？
2021-04-29 20:24:07,4倍速下对行驶的舒适度没感觉
2021-04-29 20:30:45,看到司机的心跳很快 一定很紧张 23333
2021-04-29 20:44:16,准备变道
2021-04-29 20:49:45,你在哪看到的心跳
2021-04-29 20:54:20,摩托车上高架？
2021-04-29 20:58:52,不会超车 不会急转
2021-04-29 21:28:40,这双手是在冥想吗？
2021-04-29 21:43:22,wtm以为刚刚撞了
2021-04-29 22:18:11,有两台测试车？？？
2021-04-29 22:21:29,雨刷鬼畜起来了
2021-04-29 22:25:59,谁家那么土豪用凌志来做自动驾驶
2021-04-29 22:26:58,视频加了速的，实际车速不快
2021-04-29 22:43:42,表盘显示40码，不慢了
2021-04-29 22:49:21,如果前面有三轮拉着很长的钢管，能识别到吗
2021-04-29 22:51:06,返回去看看超车的那段谢谢
2021-04-29 23:12:07,选择逮虾户模式
2021-04-29 23:17:49,前车也是自动驾驶
2021-04-29 23:24:43,雨刮会自动开吗？
2021-04-29 23:24:50,怎么实现自动变道的？
2021-04-29 23:28:07,这个是不是在跟车啊，跟前面的车？
2021-04-29 23:30:51,这个识别的也太远了吧。。。
2021-04-29 23:33:37,估计是个老中医 看见脉搏了
2021-04-29 23:43:33,2个车都是自动驾驶仪测试车，什么跟车
2021-04-29 23:44:29,好奇怎么识别地面这么多车
2021-04-29 23:52:17,这基本是全自动驾驶了 人无干预
2021-04-29 23:54:48,加塞 学习中国驾驶精髓
2021-04-30 00:01:49,注意看屏幕的对向车道的车都能清晰辨别
2021-04-30 00:30:30,可以可以
2021-04-30 00:32:46,车顶高一点的地方应该有类似广角的探测吧覆盖车辆4周
2021-04-30 01:01:59,生物岛？
2021-04-30 01:25:15,两辆车自动驾驶吗?
2021-04-30 03:26:28,南沙的晚高峰也就这样了....
2021-04-30 03:27:31,卧槽 6666这些栏杆都行
2021-04-30 07:33:36,牛叉！ 放个骨头狗都能开了
2021-04-30 07:35:39,看pad上 识别车辆
2021-04-30 07:36:38,很想看看突发情况下的应急处理测试
2021-04-30 07:39:13,其实快停车时智能找车位是最难的 狗头
2021-04-30 08:05:00,大家好，我是进来听歌的
2021-04-30 08:25:41,"去二仙桥,只能拉一点点"
2021-04-30 08:41:27,那明明是左转灯
2021-04-30 09:26:11,我觉得这样驾驶员精神更需要高度集中，更容易疲惫
2021-04-30 09:52:58,广州南沙
2021-04-30 10:27:16,自动礼让行人不？
